,token,tag,tag_STTS,lemma_gold,baseline
0,Dazu,ADV,PROAV,dazu,Dazu
1,kommen,VERB,VVFIN,kommen,kommen
2,zehn,NUM,CARD,zehn,zehn
3,statt,ADP,APPR,statt,statt
4,bisher,ADV,ADV,bisher,bisher
5,fnf,NUM,CARD,fnf,fnf
6,E-Mail-Adressen,NOUN,NN,Adresse,E-Mail-Adressen
7,sowie,CCONJ,KON,sowie,sowie
8,zehn,NUM,CARD,zehn,zehn
9,MByte,NOUN,NN,MByte,MByte
10,Webspace,PROPN,NE,Webspace,Webspace
11,.,PUNCT,$.,.,.
12,Die,DET,ART,die,Die
13,bisherigen,ADJ,ADJA,bisherig,bisherigen
14,kostenlosen,ADJ,ADJA,kostenlos,kostenlosen
15,Dienste,NOUN,NN,Dienst,Dienste
16,bleiben,VERB,VVFIN,bleiben,bleiben
17,weiterhin,ADV,ADV,weiterhin,weiterhin
18,im,ADP,APPRART,im,im
19,Angebot,NOUN,NN,Angebot,Angebot
20,.,PUNCT,$.,.,.
21,Das,DET,ART,das,Das
22,US-amerikanische,ADJ,ADJA,amerikanisch,US-amerikanische
23,Unternehmen,NOUN,NN,Unternehmen,Unternehmen
24,Qwest,PROPN,NE,Qwest,Qwest
25,verlngert,VERB,VVFIN,verlngern,verlngert
26,seine,PRON,PPOSAT,seine,seine
27,Mitgliedschaft,NOUN,NN,Mitgliedschaft,Mitgliedschaft
28,im,ADP,APPRART,im,im
29,Forschungskonsortium,NOUN,NN,Konsortium,Forschungskonsortium
30,Internet2,X,FM,Internet2,Internet2
31,.,PUNCT,$.,.,.
32,Internet2,X,FM,internet2,Internet2
33,ist,AUX,VAFIN,sein,ist
34,ein,DET,ART,ein,ein
35,in,ADP,APPR,in,in
36,den,DET,ART,den,den
37,USA,PROPN,NE,USA,USA
38,1996,NUM,CARD,1996,1996
39,gegrndeter,ADJ,ADJA,grnden,gegrndeter
40,Zusammenschluss,NOUN,NN,Zusammenschlu,Zusammenschluss
41,von,ADP,APPR,von,von
42,rund,ADV,ADV,rund,rund
43,140,NUM,CARD,140,140
44,Universitten,NOUN,NN,Universitt,Universitten
45,",",PUNCT,"$,",",",","
46,die,PRON,PRELS,die,die
47,mit,ADP,APPR,mit,mit
48,Untersttzung,NOUN,NN,Untersttzung,Untersttzung
49,der,DET,ART,der,der
50,Industrie,NOUN,NN,Industrie,Industrie
51,an,ADP,APPR,an,an
52,der,DET,ART,der,der
53,nchsten,ADJ,ADJA,nchste,nchsten
54,Generation,NOUN,NN,Generation,Generation
55,des,DET,ART,des,des
56,Internet,NOUN,NN,Internet,Internet
57,forschen,VERB,VVFIN,forschen,forschen
58,.,PUNCT,$.,.,.
59,Qwest,PROPN,NE,Qwest,Qwest
60,liefert,VERB,VVFIN,liefern,liefert
61,dem,DET,ART,dem,dem
62,Konsortium,NOUN,NN,Konsortium,Konsortium
63,die,DET,ART,die,die
64,ntige,ADJ,ADJA,ntig,ntige
65,Leitungsinfrastruktur,NOUN,NN,Infrastruktur,Leitungsinfrastruktur
66,.,PUNCT,$.,.,.
67,Das,DET,ART,das,Das
68,deutsche,ADJ,ADJA,deutsch,deutsche
69,Internet2,X,FM,Internet2,Internet2
70,ging,VERB,VVFIN,gehen,ging
71,Ende,NOUN,NN,Ende,Ende
72,Juni,NOUN,NN,Juni,Juni
73,2000,NUM,CARD,2000,2000
74,an,ADP,APPR,an,an
75,den,DET,ART,den,den
76,Start,NOUN,NN,Start,Start
77,.,PUNCT,$.,.,.
78,Sun,PROPN,NE,Sun,Sun
79,Microsystems,PROPN,NE,Microsystems,Microsystems
80,erwartet,VERB,VVFIN,erwarten,erwartet
81,nach,ADP,APPR,nach,nach
82,den,DET,ART,den,den
83,vorlufigen,ADJ,ADJA,vorlufig,vorlufigen
84,Zahlen,NOUN,NN,Zahl,Zahlen
85,fr,ADP,APPR,fr,fr
86,das,DET,ART,das,das
87,erste,ADJ,ADJA,erste,erste
88,Quartal,NOUN,NN,Quartal,Quartal
89,des,DET,ART,des,des
90,laufenden,ADJ,ADJA,laufenden,laufenden
91,Geschftsjahres,NOUN,NN,Geschftsjahr,Geschftsjahres
92,einen,DET,ART,einen,einen
93,Umsatz,NOUN,NN,Umsatz,Umsatz
94,zwischen,ADP,APPR,zwischen,zwischen
95,"2,7",NUM,CARD,"2,7","2,7"
96,und,CCONJ,KON,und,und
97,"2,9",NUM,CARD,"2,9","2,9"
98,Milliarden,NOUN,NN,Milliarde,Milliarden
99,US-Dollar,NOUN,NN,Dollar,US-Dollar
100,;,PUNCT,$.,;,;
101,daraus,ADV,PROAV,daraus,daraus
102,resultiere,VERB,VVFIN,resultieren,resultiere
103,ein,DET,ART,ein,ein
104,Verlust,NOUN,NN,Verlust,Verlust
105,von,ADP,APPR,von,von
106,fnf,NUM,CARD,fnf,fnf
107,bis,ADP,APPR,bis,bis
108,sieben,NUM,CARD,sieben,sieben
109,Cents,NOUN,NN,Cents,Cents
110,pro,ADP,APPR,pro,pro
111,Aktie,NOUN,NN,Aktie,Aktie
112,.,PUNCT,$.,.,.
113,Die,DET,ART,die,Die
114,Erwartungen,NOUN,NN,Erwartung,Erwartungen
115,der,DET,ART,der,der
116,Analysten,NOUN,NN,Analyst,Analysten
117,betrugen,VERB,VVFIN,betragen,betrugen
118,bislang,ADV,ADV,bislang,bislang
119,4,NUM,CARD,4,4
120,Cents,NOUN,NN,Cents,Cents
121,Verlust,NOUN,NN,Verlust,Verlust
122,pro,ADP,APPR,pro,pro
123,Aktie,NOUN,NN,Aktie,Aktie
124,.,PUNCT,$.,.,.
125,Nach,ADP,APPR,nach,Nach
126,den,DET,ART,den,den
127,Attentaten,NOUN,NN,Attentat,Attentaten
128,vom,ADP,APPRART,vom,vom
129,11.,ADJ,ADJA,11.,11.
130,September,NOUN,NN,September,September
131,mssten,AUX,VMFIN,mssen,mssten
132,die,DET,ART,die,die
133,Erwartungen,NOUN,NN,Erwartung,Erwartungen
134,weiter,ADV,ADV,weiter,weiter
135,nach,ADP,APPR,nach,nach
136,unten,ADV,ADV,unten,unten
137,korrigiert,VERB,VVPP,korrigieren,korrigiert
138,werden,AUX,VAINF,werden,werden
139,",",PUNCT,"$,",",",","
140,sagte,VERB,VVFIN,sagen,sagte
141,Vorstandvorsitzender,NOUN,NN,Vorsitzender,Vorstandvorsitzender
142,Scott,PROPN,NE,Scott,Scott
143,McNealy,PROPN,NE,McNealy,McNealy
144,nun,ADV,ADV,nun,nun
145,am,ADP,APPRART,am,am
146,heutigen,ADJ,ADJA,heutig,heutigen
147,Freitag,NOUN,NN,Freitag,Freitag
148,.,PUNCT,$.,.,.
149,Die,DET,ART,die,Die
150,Position,NOUN,NN,Position,Position
151,seines,PRON,PPOSAT,seines,seines
152,Unternehmens,NOUN,NN,Unternehmen,Unternehmens
153,sei,AUX,VAFIN,sein,sei
154,zwar,ADV,ADV,zwar,zwar
155,strker,ADJ,ADJD,strker,strker
156,denn,CCONJ,KOKOM,denn,denn
157,je,ADV,ADV,je,je
158,",",PUNCT,"$,",",",","
159,doch,CCONJ,KON,doch,doch
160,die,DET,ART,die,die
161,derzeitigen,ADJ,ADJA,derzeitig,derzeitigen
162,konomischen,ADJ,ADJA,konomisch,konomischen
163,Bedingungen,NOUN,NN,Bedingung,Bedingungen
164,seien,AUX,VAFIN,sein,seien
165,ohne,ADP,APPR,ohne,ohne
166,Zweifel,NOUN,NN,Zweifel,Zweifel
167,sehr,ADV,ADV,sehr,sehr
168,schwierig,ADJ,ADJD,schwierig,schwierig
169,.,PUNCT,$.,.,.
170,Daher,ADV,PROAV,daher,Daher
171,will,AUX,VMFIN,wollen,will
172,Sun,PROPN,NE,Sun,Sun
173,neun,NUM,CARD,neun,neun
174,Prozent,NOUN,NN,Prozent,Prozent
175,der,DET,ART,der,der
176,Belegschaft,NOUN,NN,Belegschaft,Belegschaft
177,entlassen,VERB,VVINF,entlassen,entlassen
178,und,CCONJ,KON,und,und
179,einige,DET,PIAT,einig,einige
180,Fabriken,NOUN,NN,Fabrik,Fabriken
181,schlieen,VERB,VVINF,schlieen,schlieen
182,.,PUNCT,$.,.,.
183,Fr,ADP,APPR,fr,Fr
184,das,DET,ART,das,das
185,zweite,ADJ,ADJA,zweit,zweite
186,Quartal,NOUN,NN,Quartal,Quartal
187,entstehen,VERB,VVFIN,entstehen,entstehen
188,dem,DET,ART,dem,dem
189,Unternehmen,NOUN,NN,Unternehmen,Unternehmen
190,dadurch,ADV,PROAV,dadurch,dadurch
191,zustzliche,ADJ,ADJA,zustzlich,zustzliche
192,Belastungen,NOUN,NN,Belastung,Belastungen
193,in,ADP,APPR,in,in
194,Hhe,NOUN,NN,Hhe,Hhe
195,von,ADP,APPR,von,von
196,500,NUM,CARD,500,500
197,Millionen,NOUN,NN,Million,Millionen
198,US-Dollar,NOUN,NN,Dollar,US-Dollar
199,.,PUNCT,$.,.,.
200,In,ADP,APPR,in,In
201,diesen,DET,PDAT,diesen,diesen
202,Tagen,NOUN,NN,Tag,Tagen
203,hatten,AUX,VAFIN,haben,hatten
204,auch,ADV,ADV,auch,auch
205,die,DET,ART,die,die
206,PC-Hersteller,NOUN,NN,Hersteller,PC-Hersteller
207,Gateway,PROPN,NE,Gateway,Gateway
208,und,CCONJ,KON,und,und
209,Compaq,PROPN,NE,Compaq,Compaq
210,Gewinnwarnungen,NOUN,NN,Warnung,Gewinnwarnungen
211,wegen,ADP,APPR,wegen,wegen
212,der,DET,ART,der,der
213,rcklufigen,ADJ,ADJA,rcklufig,rcklufigen
214,Nachfrage,NOUN,NN,Nachfrage,Nachfrage
215,im,ADP,APPRART,im,im
216,Zusammenhang,NOUN,NN,Zusammenhang,Zusammenhang
217,mit,ADP,APPR,mit,mit
218,den,DET,ART,den,den
219,Ereignissen,NOUN,NN,Ereignis,Ereignissen
220,vom,ADP,APPRART,vom,vom
221,11.,ADJ,ADJA,11.,11.
222,September,NOUN,NN,September,September
223,verkndet,VERB,VVPP,verknden,verkndet
224,.,PUNCT,$.,.,.
225,Dell,PROPN,NE,Dell,Dell
226,und,CCONJ,KON,und,und
227,Cisco,PROPN,NE,Cisco,Cisco
228,zeigten,VERB,VVFIN,zeigen,zeigten
229,sich,PRON,PRF,sich,sich
230,hingegen,ADV,ADV,hingegen,hingegen
231,davon,ADV,PROAV,davon,davon
232,relativ,ADJ,ADJD,relativ,relativ
233,unbeeindruckt,ADJ,ADJD,unbeeindruckt,unbeeindruckt
234,.,PUNCT,$.,.,.
235,Die,DET,ART,die,Die
236,Bundesregierung,NOUN,NN,Regierung,Bundesregierung
237,zeigt,VERB,VVFIN,zeigen,zeigt
238,sich,PRON,PRF,sich,sich
239,bedingt,ADJ,ADJD,bedingen,bedingt
240,optimistisch,ADJ,ADJD,optimistisch,optimistisch
241,bei,ADP,APPR,bei,bei
242,der,DET,ART,der,der
243,Beseitigung,NOUN,NN,Beseitigung,Beseitigung
244,des,DET,ART,des,des
245,Fachkrftemangels,NOUN,NN,Mangel,Fachkrftemangels
246,in,ADP,APPR,in,in
247,der,DET,ART,der,der
248,IT-Branche,NOUN,NN,Branche,IT-Branche
249,.,PUNCT,$.,.,.
250,Bis,ADP,APPR,bis,Bis
251,2005,NUM,CARD,2005,2005
252,knnte,AUX,VMFIN,knnen,knnte
253,es,PRON,PPER,es,es
254,350.000,NUM,CARD,350.000,350.000
255,zustzliche,ADJ,ADJA,zustzlich,zustzliche
256,Fachkrfte,NOUN,NN,Fachkraft,Fachkrfte
257,geben,VERB,VVINF,geben,geben
258,",",PUNCT,"$,",",",","
259,erklrte,VERB,VVFIN,erklren,erklrte
260,heute,ADV,ADV,heute,heute
261,die,DET,ART,die,die
262,Bundesregierung,NOUN,NN,Regierung,Bundesregierung
263,in,ADP,APPR,in,in
264,einer,DET,ART,einer,einer
265,Antwort,NOUN,NN,Antwort,Antwort
266,auf,ADP,APPR,auf,auf
267,eine,DET,ART,eine,eine
268,groe,ADJ,ADJA,gro,groe
269,Anfrage,NOUN,NN,Anfrage,Anfrage
270,der,DET,ART,der,der
271,CDU/CSU-Fraktion,NOUN,NN,Fraktion,CDU/CSU-Fraktion
272,.,PUNCT,$.,.,.
273,Voraussetzung,NOUN,NN,Voraussetzung,Voraussetzung
274,sei,AUX,VAFIN,sein,sei
275,",",PUNCT,"$,",",",","
276,dass,SCONJ,KOUS,dass,dass
277,die,DET,ART,die,die
278,Unternehmen,NOUN,NN,Unternehmen,Unternehmen
279,weiter,ADV,ADV,weiter,weiter
280,engagiert,ADJ,ADJD,engagieren,engagiert
281,ausbildeten,VERB,VVFIN,ausbilden,ausbildeten
282,und,CCONJ,KON,und,und
283,die,DET,ART,die,die
284,Bundesanstalt,NOUN,NN,Anstalt,Bundesanstalt
285,fr,ADP,APPR,fr,fr
286,Arbeit,NOUN,NN,Arbeit,Arbeit
287,ihre,PRON,PPOSAT,ihre,ihre
288,Weiterbildungsmanahmen,NOUN,NN,Manahme,Weiterbildungsmanahmen
289,"""",PUNCT,$(,"""",""""
290,auf,ADP,APPR,auf,auf
291,hohem,ADJ,ADJA,hoch,hohem
292,Niveau,NOUN,NN,Niveau,Niveau
293,"""",PUNCT,$(,"""",""""
294,beibehalte,VERB,VVFIN,beibehalten,beibehalte
295,.,PUNCT,$.,.,.
296,Auerdem,ADV,PROAV,auerdem,Auerdem
297,mssten,AUX,VMFIN,mssen,mssten
298,Hochschulreformen,NOUN,NN,Reform,Hochschulreformen
299,greifen,VERB,VVINF,greifen,greifen
300,und,CCONJ,KON,und,und
301,die,DET,ART,die,die
302,Strukturierung,NOUN,NN,Strukturierung,Strukturierung
303,der,DET,ART,der,der
304,Weiterbildung,NOUN,NN,Bildung,Weiterbildung
305,im,ADP,APPRART,im,im
306,IT-Bereich,NOUN,NN,Bereich,IT-Bereich
307,abgeschlossen,VERB,VVPP,abschlieen,abgeschlossen
308,sein,AUX,VAINF,sein,sein
309,.,PUNCT,$.,.,.
310,Als,CCONJ,KOKOM,als,Als
311,Beispiele,NOUN,NN,Beispiel,Beispiele
312,fr,ADP,APPR,fr,fr
313,Reformen,NOUN,NN,Reform,Reformen
314,nannte,VERB,VVFIN,nennen,nannte
315,die,DET,ART,die,die
316,Regierung,NOUN,NN,Regierung,Regierung
317,unter,ADP,APPR,unter,unter
318,anderem,PRON,PIS,ander,anderem
319,das,DET,ART,das,das
320,"""",PUNCT,$(,"""",""""
321,Sofortprogramm,NOUN,NN,Programm,Sofortprogramm
