token,tag,tag_STTS,lemma_gold,lemma_pred
Nun,ADV,ADV,nun,Nun
nahm,VERB,VVFIN,nehmen,nahm
der,DET,ART,der,der
junge,ADJ,ADJA,jung,junge
Graf,NOUN,NN,Graf,Graf
wieder,ADV,ADV,wieder,wieder
das,DET,ART,der,das
Wort,NOUN,NN,Wort,Wort
.,PUNCT,$.,.,.
»,PUNCT,$(,»,»
Die,DET,ART,der,Die
Sache,NOUN,NN,Sache,Sache
hat,AUX,VAFIN,haben,hat
sich,PRON,PRF,sich,sich
ja,ADV,ADV,ja,ja
für,ADP,APPR,für,für
Sie,PRON,PPER,Sie,Sie
durchaus,ADV,ADV,durchaus,durchaus
befriedigend,ADJ,ADJD,befriedigend,befriedigend
aufgeklärt,VERB,VVPP,aufklären,aufgeklärt
",",PUNCT,"$,",",",","
Herr,NOUN,NN,Herr,Herr
Bilsfeld,PROPN,NE,Bilsfeld,Bilsfeld
",",PUNCT,"$,",",",","
«,PUNCT,$(,«,«
sagte,VERB,VVFIN,sagen,sagte
er,PRON,PPER,er,er
.,PUNCT,$.,.,.
»,PUNCT,$(,»,»
An,ADP,APPR,an,An
der,DET,ART,der,der
Richtigkeit,NOUN,NN,Richtigkeit,Richtigkeit
der,DET,ART,der,der
Erzählung,NOUN,NN,Erzählung,Erzählung
ist,AUX,VAFIN,sein,ist
nicht,PART,PTKNEG,nicht,nicht
zu,PART,PTKZU,zu,zu
zweifeln,VERB,VVINF,zweifeln,zweifeln
.,PUNCT,$.,.,.
Die,DET,ART,der,Die
falsche,ADJ,ADJA,falsch,falsche
Eintragung,NOUN,NN,Eintragung,Eintragung
ins,ADP,APPRART,in,ins
Kirchenbuch,NOUN,NN,Kirchenbuch,Kirchenbuch
ist,AUX,VAFIN,sein,ist
freilich,ADV,ADV,freilich,freilich
nun,ADV,ADV,nun,nun
einmal,ADV,ADV,einmal,einmal
erfolgt,VERB,VVPP,erfolgen,erfolgt
",",PUNCT,"$,",",",","
der,DET,ART,der,der
Taufschein,NOUN,NN,Taufschein,Taufschein
muß,VERB,VMFIN,müssen,muß
