token,tag,tag_STTS,lemma_gold,lemma_pred
Nun,ADV,ADV,nun,Nun
nahm,VERB,VVFIN,nehmen,nehmen
der,DET,ART,der,der
junge,ADJ,ADJA,jung,junger
Graf,NOUN,NN,Graf,Graf
wieder,ADV,ADV,wieder,wieder
das,DET,ART,der,das
Wort,NOUN,NN,Wort,Wort
.,PUNCT,$.,.,.
»,PUNCT,$(,»,»
Die,DET,ART,der,die
Sache,NOUN,NN,Sache,Sache
hat,AUX,VAFIN,haben,haben
sich,PRON,PRF,sich,sich
ja,ADV,ADV,ja,ja
für,ADP,APPR,für,für
Sie,PRON,PPER,Sie,Sie
durchaus,ADV,ADV,durchaus,durchaus
befriedigend,ADJ,ADJD,befriedigend,befriedigend
aufgeklärt,VERB,VVPP,aufklären,aufklären
",",PUNCT,"$,",",",","
Herr,NOUN,NN,Herr,Herr
Bilsfeld,PROPN,NE,Bilsfeld,Bilsfeld
",",PUNCT,"$,",",",","
«,PUNCT,$(,«,«
sagte,VERB,VVFIN,sagen,sagen
er,PRON,PPER,er,er
.,PUNCT,$.,.,.
»,PUNCT,$(,»,»
An,ADP,APPR,an,sein
der,DET,ART,der,die
Richtigkeit,NOUN,NN,Richtigkeit,Richtigkeit
der,DET,ART,der,die
Erzählung,NOUN,NN,Erzählung,Erzählung
ist,AUX,VAFIN,sein,sein
nicht,PART,PTKNEG,nicht,nicht
zu,PART,PTKZU,zu,zu
zweifeln,VERB,VVINF,zweifeln,zweifeln
.,PUNCT,$.,.,.
Die,DET,ART,der,die
falsche,ADJ,ADJA,falsch,falsch
Eintragung,NOUN,NN,Eintragung,Eintragung
ins,ADP,APPRART,in,in
Kirchenbuch,NOUN,NN,Kirchenbuch,Kirchenbuch
ist,AUX,VAFIN,sein,sein
freilich,ADV,ADV,freilich,freilich
nun,ADV,ADV,nun,nun
einmal,ADV,ADV,einmal,einmal
erfolgt,VERB,VVPP,erfolgen,erfolgen
",",PUNCT,"$,",",",","
der,DET,ART,der,der
Taufschein,NOUN,NN,Taufschein,Taufschein
muß,VERB,VMFIN,müssen,müssen
vorgelegt,VERB,VVPP,vorlegen,vorlegen
werden,AUX,VAINF,werden,werden
",",PUNCT,"$,",",",","
wenn,SCONJ,KOUS,wenn,wenn
das,DET,ART,der,das
Aufgebot,NOUN,NN,Aufgebot,Aufgebot
für,ADP,APPR,für,für
Paula,PROPN,NE,Paula,Paula
erfolgen,VERB,VVINF,erfolgen,erfolgen
soll,VERB,VMFIN,sollen,sollen
",",PUNCT,"$,",",",","
und,CONJ,KON,und,und
die,DET,ART,der,die
Einwilligung,NOUN,NN,Einwilligung,Einwilligung
der,DET,ART,der,der
Mutter,NOUN,NN,Mutter,Mutter
läßt,VERB,VVFIN,lassen,lassen
sich,PRON,PRF,sich,sich
dann,ADV,ADV,dann,dann
nicht,PART,PTKNEG,nicht,nicht
entbehren,VERB,VVINF,entbehren,entbehren
.,PUNCT,$.,.,.
Das,DET,ART,der,Das
einfachste,NOUN,NN,Einfachste,einfach
scheint,VERB,VVFIN,scheinen,scheinen
doch,ADV,ADV,doch,doch
",",PUNCT,"$,",",",","
wir,PRON,PPER,wir,wir
rühren,VERB,VVFIN,rühren,rühren
an,ADP,APPR,an,an
der,DET,ART,der,der
alten,ADJ,ADJA,alt,alt
Geschichte,NOUN,NN,Geschichte,Geschichte
gar,ADV,ADV,gar,gar
nicht,PART,PTKNEG,nicht,nicht
und,CONJ,KON,und,und
lassen,VERB,VVFIN,lassen,lassen
den,DET,ART,der,der
Taufschein,NOUN,NN,Taufschein,Taufschein
gelten,VERB,VVINF,gelten,gelten
",",PUNCT,"$,",",",","
soviel,ADV,ADV,soviel,soviel
er,PRON,PPER,er,er
gilt,VERB,VVFIN,gelten,gelten
.,PUNCT,$.,.,.
Ihre,DET,PPOSAT,Ihr,Ihre
Frau,NOUN,NN,Frau,Frau
erfüllt,VERB,VVFIN,erfüllen,erfüllen
die,DET,ART,der,die
Form,NOUN,NN,Form,Form
und,CONJ,KON,und,und
giebt,VERB,VVFIN,geben,geben
den,DET,ART,der,der
Konsens,NOUN,NN,Konsens,Konsens
.,PUNCT,$.,.,.
Mehr,PRON,PIS,mehr,mehr
verlangt,VERB,VVFIN,verlangen,verlangen
die,DET,ART,der,die
Behörde,NOUN,NN,Behörde,Behörde
nicht,PART,PTKNEG,nicht,nicht
",",PUNCT,"$,",",",","
als,SCONJ,KOUS,als,als
daß,SCONJ,KOUS,dass,daß
der,DET,ART,der,der
Form,NOUN,NN,Form,Form
genügt,VERB,VVPP,genügen,genügen
wird,AUX,VAFIN,werden,werden
.,PUNCT,$.,.,.
So,ADV,ADV,so,So
ruhig,ADJ,ADJD,ruhig,ruhig
aber,ADV,ADV,aber,aber
die,DET,ART,der,die
Tochter,NOUN,NN,Tochter,Tochter
blieb,VERB,VVFIN,bleiben,bleiben
",",PUNCT,"$,",",",","
so,ADV,ADV,so,so
bewegt,ADJ,ADJD,bewegt,bewegen
gebärdete,VERB,VVFIN,gebärden,gebärden
sich,PRON,PRF,sich,sich
der,DET,ART,der,der
Vater,NOUN,NN,Vater,Vater
.,PUNCT,$.,.,.
Plötzlich,ADV,ADV,plötzlich,Plötzlich
nahmen,VERB,VVFIN,nehmen,nehmen
aber,ADV,ADV,aber,aber
alle,PRON,PIS,alle,all
diese,DET,PDAT,dieser,dies
Verhältnisse,NOUN,NN,Verhältnis,Verhältnis
eine,DET,ART,ein,ein
neue,ADJ,ADJA,neu,neu
Gestalt,NOUN,NN,Gestalt,Gestalt
an,PART,PTKVZ,an,an
.,PUNCT,$.,.,.
Einige,DET,PIAT,einiger,Einig
Worte,NOUN,NN,Wort,Wort
",",PUNCT,"$,",",",","
welche,PRON,PRELS,welcher,welch
Uriel,PROPN,NE,Uriel,Uriel
eines,DET,ART,ein,ein
Abends,NOUN,NN,Abend,Abend
im,ADP,APPRART,in,im
Mondschein,NOUN,NN,Mondschein,Mondschein
mit,ADP,APPR,mit,mit
Judith,PROPN,NE,Judith,Judith
wechselte,VERB,VVFIN,wechseln,wechseln
",",PUNCT,"$,",",",","
gaben,VERB,VVFIN,geben,geb
dazu,ADV,PAV,dazu,dazu
die,DET,ART,der,die
Ursache,NOUN,NN,Ursache,Ursach
her,PART,PTKVZ,her,her
.,PUNCT,$.,.,.
Wir,PRON,PPER,wir,Wir
durchzogen,VERB,VVFIN,durchziehen,durchziehen
das,DET,ART,der,das
südliche,ADJ,ADJA,südlich,südlich
Deutschland,PROPN,NE,Deutschland,Deutschland
.,PUNCT,$.,.,.
In,ADP,APPR,in,In
einer,DET,ART,ein,eine
kleinen,ADJ,ADJA,klein,klein
Stadt,NOUN,NN,Stadt,Stadt
trafen,VERB,VVFIN,treffen,treffen
wir,PRON,PPER,wir,wir
auf,ADP,APPR,auf,auf
einen,DET,ART,ein,ein
italienischen,ADJ,ADJA,italienisch,italienisch
Tenor,NOUN,NN,Tenor,Tenor
",",PUNCT,"$,",",",","
der,PRON,PRELS,der,der
von,ADP,APPR,von,von
Mailand,PROPN,NE,Mailand,Mailand
nach,ADP,APPR,nach,nach
Berlin,PROPN,NE,Berlin,Berlin
wollte,VERB,VMFIN,wollen,wollen
.,PUNCT,$.,.,.
Meine,DET,PPOSAT,mein,mein
Damen,NOUN,NN,Dame,Dame
waren,AUX,VAFIN,sein,sein
entzückt,ADJ,ADJD,entzückt,erzücken
über,ADP,APPR,über,über
den,DET,ART,der,der
Landsmann,NOUN,NN,Landsmann,Landsmann
;,PUNCT,$.,;,;
er,PRON,PPER,er,er
trennte,VERB,VVFIN,trennen,trennen
sich,PRON,PRF,sich,sich
nicht,PART,PTKNEG,nicht,nicht
von,ADP,APPR,von,von
ihnen,PRON,PPER,sie,ihnen
",",PUNCT,"$,",",",","
vorzüglich,ADV,ADV,vorzüglich,vorzüglich
hielt,VERB,VVFIN,halten,halten
er,PRON,PPER,er,er
sich,PRON,PRF,sich,sich
an,ADP,APPR,an,an
Teresina,PROPN,NE,Teresina,Teresina
",",PUNCT,"$,",",",","
und,CONJ,KON,und,und
zu,ADP,APPR,zu,zu
meinem,DET,PPOSAT,mein,mein
nicht,PART,PTKNEG,nicht,nicht
geringen,ADJ,ADJA,gering,gering
Ärger,NOUN,NN,Ärger,Ärger
spielte,VERB,VVFIN,spielen,spielen
ich,PRON,PPER,ich,ich
eine,DET,ART,ein,ein
ziemlich,ADV,ADV,ziemlich,ziemlich
untergeordnete,ADJ,ADJA,untergeordnet,untergeordnet
Rolle,NOUN,NN,Rolle,Rolle
.,PUNCT,$.,.,.
Einst,ADV,ADV,einst,ein
wollte,VERB,VMFIN,wollen,wollen
ich,PRON,PPER,ich,ich
mit,ADP,APPR,mit,mit
einer,DET,ART,ein,ein
Partitur,NOUN,NN,Partitur,Partitur
unter,ADP,APPR,unter,unter
dem,DET,ART,der,der
Arm,NOUN,NN,Arm,Arm
gerade,ADV,ADV,gerade,gerade
ins,ADP,APPRART,in,in
Zimmer,NOUN,NN,Zimmer,Zimmer
treten,VERB,VVINF,treten,treten
",",PUNCT,"$,",",",","
als,SCONJ,KOUS,als,als
ich,PRON,PPER,ich,ich
drinnen,ADV,ADV,drinnen,drinnen
ein,DET,ART,ein,ein
lebhaftes,ADJ,ADJA,lebhaft,lebhaft
Gespräch,NOUN,NN,Gespräch,Gespräch
zwischen,ADP,APPR,zwischen,zwischen
meinen,DET,PPOSAT,mein,mein
Damen,NOUN,NN,Dame,Dame
und,CONJ,KON,und,und
dem,DET,ART,der,der
Tenor,NOUN,NN,Tenor,Tenor
vernahm,VERB,VVFIN,vernehmen,vernahmen
.,PUNCT,$.,.,.
Mein,DET,PPOSAT,mein,Mein
Name,NOUN,NN,Name,Name
wurde,AUX,VAFIN,werden,werden
genannt,VERB,VVPP,nennen,nennen
–,PUNCT,$(,-,–
ich,PRON,PPER,ich,ich
stutzte,VERB,VVFIN,stutzen,stutze
",",PUNCT,"$,",",",","
ich,PRON,PPER,ich,ich
horchte,VERB,VVFIN,horchen,horchen
.,PUNCT,$.,.,.
Das,DET,ART,der,Das
Italienische,NOUN,NN,Italienisch,Italienisch
verstand,VERB,VVFIN,verstehen,verstehen
ich,PRON,PPER,ich,ich
jetzt,ADV,ADV,jetzt,jetzt
so,ADV,ADV,so,so
gut,ADJ,ADJD,gut,gut
",",PUNCT,"$,",",",","
daß,SCONJ,KOUS,dass,dass
mir,PRON,PPER,ich,mir
kein,DET,PIAT,kein,kein
Wort,NOUN,NN,Wort,Wort
entging,VERB,VVFIN,entgehen,entgehen
.,PUNCT,$.,.,.
Teresina,PROPN,NE,Teresina,Teresina
bestätigte,VERB,VVFIN,bestätigen,bestätigen
dies,PRON,PDS,dieser,dies
zu,ADP,APPR,zu,zu
meinem,DET,PPOSAT,mein,mein
nicht,PART,PTKNEG,nicht,nicht
geringen,ADJ,ADJA,gering,gering
Erstaunen,NOUN,NN,Erstaunen,Erstaunen
.,PUNCT,$.,.,.
Einiges,DET,PIAT,einiger,Einig
Talent,NOUN,NN,Talent,Talent
ist,AUX,VAFIN,sein,sein
in,ADP,APPR,in,in
ihm,PRON,PPER,er,er
",",PUNCT,"$,",",",","
aber,CONJ,KON,aber,aber
er,PRON,PPER,er,er
muß,VERB,VMFIN,müssen,müssen
sich,PRON,PRF,sich,sich
aus,ADP,APPR,aus,aus
dem,DET,ART,der,der
Steifen,NOUN,NN,Steife,Steif
und,CONJ,KON,und,und
Ungelenken,NOUN,NN,Ungelenke,Ungelenk
herausarbeiten,VERB,VVINF,herausarbeiten,herausarbeiten
",",PUNCT,"$,",",",","
das,PRON,PRELS,der,das
den,DET,ART,der,der
Deutschen,NOUN,NN,Deutsche,Deutsch
eigen,ADJ,ADJD,eigen,eigen
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,Ich
hoffe,VERB,VVFIN,hoffen,hoffen
mir,PRON,PRF,ich,ich
aus,ADP,APPR,aus,aus
ihm,PRON,PPER,er,er
einen,DET,ART,ein,ein
Compositore,X,FM,Compositore,Compositore
zu,PART,PTKZU,zu,zu
bilden,VERB,VVINF,bilden,bilden
",",PUNCT,"$,",",",","
der,PRON,PRELS,der,der
mir,PRON,PPER,ich,ich
",",PUNCT,"$,",",",","
da,SCONJ,KOUS,da,da
wenig,PRON,PIS,wenig,wenig
für,ADP,APPR,für,für
den,DET,ART,der,den
Alt,NOUN,NN,Alt,Alt
geschrieben,VERB,VVPP,schreiben,schreiben
wird,AUX,VAFIN,werden,werden
",",PUNCT,"$,",",",","
einige,DET,PIAT,einiger,einige
tüchtige,ADJ,ADJA,tüchtig,tüchtig
Sachen,NOUN,NN,Sache,Sache
setzt,VERB,VVFIN,setzen,setzen
",",PUNCT,"$,",",",","
nachher,ADV,ADV,nachher,nachher
lasse,VERB,VVFIN,lassen,lassen
ich,PRON,PPER,ich,ich
ihn,PRON,PPER,er,er
laufen,VERB,VVINF,laufen,laufen
.,PUNCT,$.,.,.
–,PUNCT,$(,-,–
Nun,ADV,ADV,nun,Nun
fing,VERB,VVFIN,fangen,fangen
Lauretta,PROPN,NE,Lauretta,Lauretta
ein,DET,ART,ein,ein
Duett,NOUN,NN,Duett,Duett
an,PART,PTKVZ,an,an
",",PUNCT,"$,",",",","
das,PRON,PRELS,der,das
ich,PRON,PPER,ich,ich
komponiert,VERB,VVPP,komponieren,komponieren
und,CONJ,KON,und,und
das,PRON,PRELS,der,das
sie,PRON,PPER,sie,sie
sonst,ADV,ADV,sonst,sonst
hoch,ADV,ADV,hoch,hoch
gerühmt,VERB,VVPP,rühmen,rühmen
hatte,AUX,VAFIN,haben,haben
.,PUNCT,$.,.,.
Teresina,PROPN,NE,Teresina,Teresina
nahm,VERB,VVFIN,nehmen,nehmen
die,DET,ART,der,die
zweite,ADJ,ADJA,zweiter,zweit
Stimme,NOUN,NN,Stimme,Stimme
auf,PART,PTKVZ,auf,auf
",",PUNCT,"$,",",",","
und,CONJ,KON,und,und
beide,PRON,PIS,beide,beide
parodierten,VERB,VVFIN,parodieren,parodieren
in,ADP,APPR,in,in
Stimme,NOUN,NN,Stimme,Stimme
und,CONJ,KON,und,und
Vortrag,NOUN,NN,Vortrag,Vortrag
mich,PRON,PPER,ich,ich
auf,ADP,APPR,auf,auf
das,DET,ART,der,das
grausamste,NOUN,NN,Grausamste,grausam
.,PUNCT,$.,.,.
Der,DET,ART,der,Der
Tenor,NOUN,NN,Tenor,Tenor
lachte,VERB,VVFIN,lachen,lachen
",",PUNCT,"$,",",",","
daß,SCONJ,KOUS,dass,dass
es,PRON,PPER,es,es
im,ADP,APPRART,in,im
Zimmer,NOUN,NN,Zimmer,Zimmer
schallte,VERB,VVFIN,schallen,schallen
",",PUNCT,"$,",",",","
ein,DET,ART,ein,ein
