token,tag,tag_STTS,lemma_gold,lemma_pred
Nun,ADV,ADV,nun,nun
nahm,VERB,VVFIN,nehmen,nehmen
der,DET,ART,der,
junge,ADJ,ADJA,jung,jung
Graf,NOUN,NN,Graf,Graf
wieder,ADV,ADV,wieder,wieder
das,DET,ART,der,
Wort,NOUN,NN,Wort,Wort
.,PUNCT,$.,.,
»,PUNCT,$(,»,
Die,DET,ART,der,
Sache,NOUN,NN,Sache,Sache
hat,AUX,VAFIN,haben,
sich,PRON,PRF,sich,
ja,ADV,ADV,ja,ja
für,ADP,APPR,für,
Sie,PRON,PPER,Sie,
durchaus,ADV,ADV,durchaus,durchaus
befriedigend,ADJ,ADJD,befriedigend,befriedigend
aufgeklärt,VERB,VVPP,aufklären,aufklären
",",PUNCT,"$,",",",
Herr,NOUN,NN,Herr,Herr
Bilsfeld,PROPN,NE,Bilsfeld,
",",PUNCT,"$,",",",
«,PUNCT,$(,«,
sagte,VERB,VVFIN,sagen,sagen
er,PRON,PPER,er,
.,PUNCT,$.,.,
»,PUNCT,$(,»,
An,ADP,APPR,an,
der,DET,ART,der,
Richtigkeit,NOUN,NN,Richtigkeit,Richtigkeit
der,DET,ART,der,
Erzählung,NOUN,NN,Erzählung,Erzählung
ist,AUX,VAFIN,sein,
nicht,PART,PTKNEG,nicht,
zu,PART,PTKZU,zu,
zweifeln,VERB,VVINF,zweifeln,zweifeln
.,PUNCT,$.,.,
Die,DET,ART,der,
falsche,ADJ,ADJA,falsch,falsch
Eintragung,NOUN,NN,Eintragung,Eintragung
ins,ADP,APPRART,in,
Kirchenbuch,NOUN,NN,Kirchenbuch,Kirchenbuch
ist,AUX,VAFIN,sein,
freilich,ADV,ADV,freilich,freilich
nun,ADV,ADV,nun,nun
einmal,ADV,ADV,einmal,einmal
erfolgt,VERB,VVPP,erfolgen,erfolgen
",",PUNCT,"$,",",",
der,DET,ART,der,
Taufschein,NOUN,NN,Taufschein,Taufschein
muß,VERB,VMFIN,müssen,müssen
vorgelegt,VERB,VVPP,vorlegen,vorlegen
werden,AUX,VAINF,werden,
",",PUNCT,"$,",",",
wenn,SCONJ,KOUS,wenn,
das,DET,ART,der,
Aufgebot,NOUN,NN,Aufgebot,Aufgebot
für,ADP,APPR,für,
Paula,PROPN,NE,Paula,
erfolgen,VERB,VVINF,erfolgen,erfolgen
soll,VERB,VMFIN,sollen,sollen
",",PUNCT,"$,",",",
und,CONJ,KON,und,
die,DET,ART,der,
Einwilligung,NOUN,NN,Einwilligung,Einwilligung
der,DET,ART,der,
Mutter,NOUN,NN,Mutter,Mutter
läßt,VERB,VVFIN,lassen,lassen
sich,PRON,PRF,sich,
dann,ADV,ADV,dann,dann
nicht,PART,PTKNEG,nicht,
entbehren,VERB,VVINF,entbehren,entbehren
.,PUNCT,$.,.,
Das,DET,ART,der,
einfachste,NOUN,NN,Einfachste,Einfachste
scheint,VERB,VVFIN,scheinen,scheinen
doch,ADV,ADV,doch,doch
",",PUNCT,"$,",",",
wir,PRON,PPER,wir,
rühren,VERB,VVFIN,rühren,rühren
an,ADP,APPR,an,
der,DET,ART,der,
alten,ADJ,ADJA,alt,alt
Geschichte,NOUN,NN,Geschichte,Geschichte
gar,ADV,ADV,gar,gar
nicht,PART,PTKNEG,nicht,
und,CONJ,KON,und,
lassen,VERB,VVFIN,lassen,lassen
den,DET,ART,der,
Taufschein,NOUN,NN,Taufschein,Taufschein
gelten,VERB,VVINF,gelten,gelten
",",PUNCT,"$,",",",
soviel,ADV,ADV,soviel,soviel
er,PRON,PPER,er,
gilt,VERB,VVFIN,gelten,gelten
.,PUNCT,$.,.,
Ihre,DET,PPOSAT,Ihr,
Frau,NOUN,NN,Frau,Frau
erfüllt,VERB,VVFIN,erfüllen,erfüllen
die,DET,ART,der,
Form,NOUN,NN,Form,Form
und,CONJ,KON,und,
giebt,VERB,VVFIN,geben,iben
den,DET,ART,der,
Konsens,NOUN,NN,Konsens,Konsens
.,PUNCT,$.,.,
Mehr,PRON,PIS,mehr,
verlangt,VERB,VVFIN,verlangen,verlangen
die,DET,ART,der,
Behörde,NOUN,NN,Behörde,Behörde
nicht,PART,PTKNEG,nicht,
",",PUNCT,"$,",",",
als,SCONJ,KOUS,als,
daß,SCONJ,KOUS,dass,
der,DET,ART,der,
Form,NOUN,NN,Form,Form
genügt,VERB,VVPP,genügen,genügen
wird,AUX,VAFIN,werden,
.,PUNCT,$.,.,
Die,DET,ART,der,
Papiere,NOUN,NN,Papier,Papier
kommen,VERB,VVFIN,kommen,kommen
in,ADP,APPR,in,
die,DET,ART,der,
Akten,NOUN,NN,Akte,Akte
",",PUNCT,"$,",",",
und,CONJ,KON,und,
kein,DET,PIAT,kein,
Mensch,NOUN,NN,Mensch,Mensch
fragt,VERB,VVFIN,fragen,fragen
weiter,ADV,ADV,weiter,weiter
danach,ADV,PAV,danach,danach
.,PUNCT,$.,.,
So,ADV,ADV,so,so
ruhig,ADJ,ADJD,ruhig,ruhig
aber,ADV,ADV,aber,aber
die,DET,ART,der,
Tochter,NOUN,NN,Tochter,Tochter
blieb,VERB,VVFIN,bleiben,bleiben
",",PUNCT,"$,",",",
so,ADV,ADV,so,so
bewegt,ADJ,ADJD,bewegt,bewegt
gebärdete,VERB,VVFIN,gebärden,gebärden
sich,PRON,PRF,sich,
der,DET,ART,der,
Vater,NOUN,NN,Vater,Vater
.,PUNCT,$.,.,
Aus,ADP,APPR,aus,
dem,DET,ART,der,
seligsten,ADJ,ADJA,selig,seligst
Lachen,NOUN,NN,Lachen,Lachen
in,ADP,APPR,in,
das,DET,ART,der,
lauteste,ADJ,ADJA,laut,lautest
Schluchzen,NOUN,NN,Schluchzen,Schluchzen
der,DET,ART,der,
Rührung,NOUN,NN,Rührung,Rührung
überspringend,ADJ,ADJD,überspringend,überspringend
",",PUNCT,"$,",",",
streifte,VERB,VVFIN,streifen,streifen
er,PRON,PPER,er,
mehr,ADV,ADV,mehr,mehr
als,CONJ,KOKOM,als,
einmal,ADV,ADV,einmal,einmal
ans,ADP,APPRART,an,
Lächerliche,NOUN,NN,Lächerliche,Lächerliche
und,CONJ,KON,und,
machte,VERB,VVFIN,machen,machen
endlich,ADV,ADV,endlich,endlich
nach,ADP,APPR,nach,
vollzogener,ADJ,ADJA,vollzogen,vollzogen
Feierlichkeit,NOUN,NN,Feierlichkeit,Feierlichkeit
seinem,DET,PPOSAT,sein,
Entzücken,NOUN,NN,Entzücken,Entzücken
mit,ADP,APPR,mit,
dem,DET,ART,der,
wiederholten,ADJ,ADJA,wiederholt,wiederholt
Ausrufe,NOUN,NN,Ausruf,Ausrufe
:,PUNCT,$.,:,
»,PUNCT,$(,»,
Sie,PRON,PPER,sie,
ist,AUX,VAFIN,sein,
versorgt,VERB,VVPP,versorgen,versorgen
",",PUNCT,"$,",",",
sie,PRON,PPER,sie,
ist,AUX,VAFIN,sein,
versorgt,VERB,VVPP,versorgen,versorgen
!,PUNCT,$.,!,
«,PUNCT,$(,«,
in,ADP,APPR,in,
verschwenderischen,ADJ,ADJA,verschwenderisch,verschwenderisch
Küssen,NOUN,NN,Kuss,Küssen
und,CONJ,KON,und,
Umarmungen,NOUN,NN,Umarmung,Umarmungen
Luft,NOUN,NN,Luft,Luft
.,PUNCT,$.,.,
Plötzlich,ADV,ADV,plötzlich,plötzlich
nahmen,VERB,VVFIN,nehmen,nehmen
aber,ADV,ADV,aber,aber
alle,PRON,PIS,alle,
diese,DET,PDAT,dieser,
Verhältnisse,NOUN,NN,Verhältnis,Verhältnis
eine,DET,ART,ein,
neue,ADJ,ADJA,neu,neu
Gestalt,NOUN,NN,Gestalt,Gestalt
an,PART,PTKVZ,an,
.,PUNCT,$.,.,
Einige,DET,PIAT,einiger,
Worte,NOUN,NN,Wort,Wort
",",PUNCT,"$,",",",
welche,PRON,PRELS,welcher,
Uriel,PROPN,NE,Uriel,
eines,DET,ART,ein,
Abends,NOUN,NN,Abend,Abend
im,ADP,APPRART,in,
Mondschein,NOUN,NN,Mondschein,Mondschein
mit,ADP,APPR,mit,
Judith,PROPN,NE,Judith,
wechselte,VERB,VVFIN,wechseln,wechseln
",",PUNCT,"$,",",",
gaben,VERB,VVFIN,geben,geben
dazu,ADV,PAV,dazu,dazu
die,DET,ART,der,
Ursache,NOUN,NN,Ursache,Ursache
her,PART,PTKVZ,her,
.,PUNCT,$.,.,
Sie,PRON,PPER,sie,
hatte,AUX,VAFIN,haben,
ihn,PRON,PPER,er,
gefragt,VERB,VVPP,fragen,fragen
",",PUNCT,"$,",",",
ob,SCONJ,KOUS,ob,
er,PRON,PPER,er,
denn,ADV,ADV,denn,denn
in,ADP,APPR,in,
Wahrheit,NOUN,NN,Wahrheit,Wahrheit
den,DET,ART,der,
Namen,NOUN,NN,Name,Name
eines,DET,ART,ein,
Sadducäers,NOUN,NN,Sadduzäer,Sadducäers
verdiene,VERB,VVFIN,verdienen,verdienen
",",PUNCT,"$,",",",
den,PRON,PRELS,der,
man,PRON,PIS,man,
ihm,PRON,PPER,er,
allgemein,ADV,ADV,allgemein,allgemein
gäbe,VERB,VVFIN,geben,geben
.,PUNCT,$.,.,
Wir,PRON,PPER,wir,
durchzogen,VERB,VVFIN,durchziehen,durchziehen
das,DET,ART,der,
südliche,ADJ,ADJA,südlich,südlich
Deutschland,PROPN,NE,Deutschland,
.,PUNCT,$.,.,
In,ADP,APPR,in,
einer,DET,ART,ein,
kleinen,ADJ,ADJA,klein,klein
Stadt,NOUN,NN,Stadt,Stadt
trafen,VERB,VVFIN,treffen,treffen
wir,PRON,PPER,wir,
auf,ADP,APPR,auf,
einen,DET,ART,ein,
italienischen,ADJ,ADJA,italienisch,italienisch
Tenor,NOUN,NN,Tenor,Tenor
",",PUNCT,"$,",",",
der,PRON,PRELS,der,
von,ADP,APPR,von,
Mailand,PROPN,NE,Mailand,
nach,ADP,APPR,nach,
Berlin,PROPN,NE,Berlin,
wollte,VERB,VMFIN,wollen,wollen
.,PUNCT,$.,.,
Meine,DET,PPOSAT,mein,
Damen,NOUN,NN,Dame,Dame
waren,AUX,VAFIN,sein,
entzückt,ADJ,ADJD,entzückt,entzückt
über,ADP,APPR,über,
den,DET,ART,der,
Landsmann,NOUN,NN,Landsmann,Landsmann
;,PUNCT,$.,;,
er,PRON,PPER,er,
trennte,VERB,VVFIN,trennen,trennen
sich,PRON,PRF,sich,
nicht,PART,PTKNEG,nicht,
von,ADP,APPR,von,
ihnen,PRON,PPER,sie,
",",PUNCT,"$,",",",
vorzüglich,ADV,ADV,vorzüglich,vorzüglich
hielt,VERB,VVFIN,halten,halten
er,PRON,PPER,er,
sich,PRON,PRF,sich,
an,ADP,APPR,an,
Teresina,PROPN,NE,Teresina,
",",PUNCT,"$,",",",
und,CONJ,KON,und,
zu,ADP,APPR,zu,
meinem,DET,PPOSAT,mein,
nicht,PART,PTKNEG,nicht,
geringen,ADJ,ADJA,gering,gering
Ärger,NOUN,NN,Ärger,Ärger
spielte,VERB,VVFIN,spielen,spielen
ich,PRON,PPER,ich,
eine,DET,ART,ein,
ziemlich,ADV,ADV,ziemlich,ziemlich
untergeordnete,ADJ,ADJA,untergeordnet,untergeordnet
Rolle,NOUN,NN,Rolle,Rolle
.,PUNCT,$.,.,
Einst,ADV,ADV,einst,einst
wollte,VERB,VMFIN,wollen,wollen
ich,PRON,PPER,ich,
mit,ADP,APPR,mit,
einer,DET,ART,ein,
Partitur,NOUN,NN,Partitur,Partitur
unter,ADP,APPR,unter,
dem,DET,ART,der,
Arm,NOUN,NN,Arm,Arm
gerade,ADV,ADV,gerade,gerade
ins,ADP,APPRART,in,
Zimmer,NOUN,NN,Zimmer,Zimmer
treten,VERB,VVINF,treten,treten
",",PUNCT,"$,",",",
als,SCONJ,KOUS,als,
ich,PRON,PPER,ich,
drinnen,ADV,ADV,drinnen,drinnen
ein,DET,ART,ein,
lebhaftes,ADJ,ADJA,lebhaft,lebhaft
Gespräch,NOUN,NN,Gespräch,Gespräch
zwischen,ADP,APPR,zwischen,
meinen,DET,PPOSAT,mein,
Damen,NOUN,NN,Dame,Dame
und,CONJ,KON,und,
dem,DET,ART,der,
Tenor,NOUN,NN,Tenor,Tenor
vernahm,VERB,VVFIN,vernehmen,vernehmen
.,PUNCT,$.,.,
Mein,DET,PPOSAT,mein,
Name,NOUN,NN,Name,Name
wurde,AUX,VAFIN,werden,
genannt,VERB,VVPP,nennen,nennen
–,PUNCT,$(,-,
ich,PRON,PPER,ich,
stutzte,VERB,VVFIN,stutzen,stutzen
",",PUNCT,"$,",",",
ich,PRON,PPER,ich,
horchte,VERB,VVFIN,horchen,horchen
.,PUNCT,$.,.,
Das,DET,ART,der,
Italienische,NOUN,NN,Italienisch,Italienische
verstand,VERB,VVFIN,verstehen,verstehen
ich,PRON,PPER,ich,
jetzt,ADV,ADV,jetzt,jetzt
so,ADV,ADV,so,so
gut,ADJ,ADJD,gut,gut
",",PUNCT,"$,",",",
daß,SCONJ,KOUS,dass,
mir,PRON,PPER,ich,
kein,DET,PIAT,kein,
Wort,NOUN,NN,Wort,Wort
entging,VERB,VVFIN,entgehen,entgehen
.,PUNCT,$.,.,
Lauretta,PROPN,NE,Lauretta,
erzählte,VERB,VVFIN,erzählen,erzählen
eben,ADV,ADV,eben,eben
den,DET,ART,der,
tragischen,ADJ,ADJA,tragisch,tragisch
Vorfall,NOUN,NN,Vorfall,Vorfall
im,ADP,APPRART,in,
Konzert,NOUN,NN,Konzert,Konzert
",",PUNCT,"$,",",",
wie,SCONJ,KOUS,wie,
ich,PRON,PPER,ich,
ihr,PRON,PPER,sie,
durch,ADP,APPR,durch,
unzeitiges,ADJ,ADJA,unzeitig,unzeitig
Niederschlagen,NOUN,NN,Niederschlagen,Niederschlagen
den,DET,ART,der,
Triller,NOUN,NN,Triller,Triller
abgeschnitten,VERB,VVPP,abschneiden,abschneiden
.,PUNCT,$.,.,
›,PUNCT,$(,›,
Asino,X,FM,Asino,
tedesco,X,FM,tedesco,
‹,PUNCT,$(,‹,
",",PUNCT,"$,",",",
rief,VERB,VVFIN,rufen,rufen
der,DET,ART,der,
Tenor,NOUN,NN,Tenor,Tenor
–,PUNCT,$(,-,
es,PRON,PPER,es,
war,AUX,VAFIN,sein,
mir,PRON,PPER,ich,
zumute,ADV,ADV,zumute,zumute
",",PUNCT,"$,",",",
als,SCONJ,KOUS,als,
müßte,VERB,VMFIN,müssen,müssen
ich,PRON,PPER,ich,
hinein,ADV,ADV,hinein,hinein
und,CONJ,KON,und,
den,DET,ART,der,
luftigen,ADJ,ADJA,luftig,luftig
Theaterhelden,NOUN,NN,Theaterheld,Theaterheld
zum,ADP,APPRART,zu,
Fenster,NOUN,NN,Fenster,Fenster
