token,tag,tag_STTS,lemma_gold,lemma_pred
Nun,ADV,ADV,nun,nun
nahm,VERB,VVFIN,nehmen,nehmen
der,DET,ART,der,der
junge,ADJ,ADJA,jung,jung
Graf,NOUN,NN,Graf,Graf
wieder,ADV,ADV,wieder,wieder
das,DET,ART,der,der
Wort,NOUN,NN,Wort,Wort
.,PUNCT,$.,.,.
»,PUNCT,$(,»,»
Die,DET,ART,der,der
Sache,NOUN,NN,Sache,Sache
hat,AUX,VAFIN,haben,haben
sich,PRON,PRF,sich,sich
ja,ADV,ADV,ja,ja
für,ADP,APPR,für,für
Sie,PRON,PPER,Sie,sie
durchaus,ADV,ADV,durchaus,durchaus
befriedigend,ADJ,ADJD,befriedigend,befriedigend
aufgeklärt,VERB,VVPP,aufklären,aufklären
",",PUNCT,"$,",",",","
Herr,NOUN,NN,Herr,Herr
Bilsfeld,PROPN,NE,Bilsfeld,Bilsfeld
",",PUNCT,"$,",",",","
«,PUNCT,$(,«,«
sagte,VERB,VVFIN,sagen,sagen
er,PRON,PPER,er,er
.,PUNCT,$.,.,.
»,PUNCT,$(,»,»
An,ADP,APPR,an,an
der,DET,ART,der,der
Richtigkeit,NOUN,NN,Richtigkeit,Richtigkeit
der,DET,ART,der,der
Erzählung,NOUN,NN,Erzählung,Erzählung
ist,AUX,VAFIN,sein,sein
nicht,PART,PTKNEG,nicht,nicht
zu,PART,PTKZU,zu,zu
zweifeln,VERB,VVINF,zweifeln,zweifeln
.,PUNCT,$.,.,.
Die,DET,ART,der,der
falsche,ADJ,ADJA,falsch,falsch
Eintragung,NOUN,NN,Eintragung,Eintragung
ins,ADP,APPRART,in,in
Kirchenbuch,NOUN,NN,Kirchenbuch,Kirchenbuch
ist,AUX,VAFIN,sein,sein
freilich,ADV,ADV,freilich,freilich
nun,ADV,ADV,nun,nun
einmal,ADV,ADV,einmal,einmal
erfolgt,VERB,VVPP,erfolgen,erfolgen
",",PUNCT,"$,",",",","
der,DET,ART,der,der
Taufschein,NOUN,NN,Taufschein,Taufschei
muß,VERB,VMFIN,müssen,müssen
vorgelegt,VERB,VVPP,vorlegen,vorlegen
werden,AUX,VAINF,werden,werden
",",PUNCT,"$,",",",","
wenn,SCONJ,KOUS,wenn,wenn
das,DET,ART,der,der
Aufgebot,NOUN,NN,Aufgebot,Aufgebot
für,ADP,APPR,für,für
Paula,PROPN,NE,Paula,Paula
erfolgen,VERB,VVINF,erfolgen,erfolgen
soll,VERB,VMFIN,sollen,sollen
",",PUNCT,"$,",",",","
und,CONJ,KON,und,und
die,DET,ART,der,der
Einwilligung,NOUN,NN,Einwilligung,Einwilligung
der,DET,ART,der,der
Mutter,NOUN,NN,Mutter,Mutter
läßt,VERB,VVFIN,lassen,lassen
sich,PRON,PRF,sich,sich
dann,ADV,ADV,dann,dann
nicht,PART,PTKNEG,nicht,nicht
entbehren,VERB,VVINF,entbehren,entbehren
.,PUNCT,$.,.,.
Das,DET,ART,der,der
einfachste,NOUN,NN,Einfachste,einfach
scheint,VERB,VVFIN,scheinen,scheinen
doch,ADV,ADV,doch,doch
",",PUNCT,"$,",",",","
wir,PRON,PPER,wir,wir
rühren,VERB,VVFIN,rühren,rühren
an,ADP,APPR,an,an
der,DET,ART,der,der
alten,ADJ,ADJA,alt,alt
Geschichte,NOUN,NN,Geschichte,Geschichte
gar,ADV,ADV,gar,gar
nicht,PART,PTKNEG,nicht,nicht
und,CONJ,KON,und,und
lassen,VERB,VVFIN,lassen,lassen
den,DET,ART,der,der
Taufschein,NOUN,NN,Taufschein,Taufschei
gelten,VERB,VVINF,gelten,gelten
",",PUNCT,"$,",",",","
soviel,ADV,ADV,soviel,soviel
er,PRON,PPER,er,er
gilt,VERB,VVFIN,gelten,gelten
.,PUNCT,$.,.,.
Ihre,DET,PPOSAT,Ihr,ihr
Frau,NOUN,NN,Frau,Frau
erfüllt,VERB,VVFIN,erfüllen,erfüllen
die,DET,ART,der,der
Form,NOUN,NN,Form,Form
und,CONJ,KON,und,und
giebt,VERB,VVFIN,geben,gieben
den,DET,ART,der,der
Konsens,NOUN,NN,Konsens,Konsens
.,PUNCT,$.,.,.
Mehr,PRON,PIS,mehr,mehr
verlangt,VERB,VVFIN,verlangen,verlangen
die,DET,ART,der,der
Behörde,NOUN,NN,Behörde,Behörde
nicht,PART,PTKNEG,nicht,nicht
",",PUNCT,"$,",",",","
als,SCONJ,KOUS,als,als
daß,SCONJ,KOUS,dass,daß
der,DET,ART,der,der
Form,NOUN,NN,Form,Form
genügt,VERB,VVPP,genügen,genügen
wird,AUX,VAFIN,werden,werden
.,PUNCT,$.,.,.
Die,DET,ART,der,der
Papiere,NOUN,NN,Papier,Papier
kommen,VERB,VVFIN,kommen,kommen
in,ADP,APPR,in,in
die,DET,ART,der,der
Akten,NOUN,NN,Akte,Akt
",",PUNCT,"$,",",",","
und,CONJ,KON,und,und
kein,DET,PIAT,kein,kein
Mensch,NOUN,NN,Mensch,Mensch
fragt,VERB,VVFIN,fragen,fragen
weiter,ADV,ADV,weiter,weiter
danach,ADV,PAV,danach,danach
.,PUNCT,$.,.,.
So,ADV,ADV,so,so
ruhig,ADJ,ADJD,ruhig,ruhig
aber,ADV,ADV,aber,aber
die,DET,ART,der,der
Tochter,NOUN,NN,Tochter,Tochter
blieb,VERB,VVFIN,bleiben,bleiben
",",PUNCT,"$,",",",","
so,ADV,ADV,so,so
bewegt,ADJ,ADJD,bewegt,bewegen
gebärdete,VERB,VVFIN,gebärden,gebärden
sich,PRON,PRF,sich,sich
der,DET,ART,der,der
Vater,NOUN,NN,Vater,Vater
.,PUNCT,$.,.,.
Aus,ADP,APPR,aus,aus
dem,DET,ART,der,der
seligsten,ADJ,ADJA,selig,selig
Lachen,NOUN,NN,Lachen,Lachen
in,ADP,APPR,in,in
das,DET,ART,der,der
lauteste,ADJ,ADJA,laut,laut
Schluchzen,NOUN,NN,Schluchzen,Schluchzen
der,DET,ART,der,der
Rührung,NOUN,NN,Rührung,Rührung
überspringend,ADJ,ADJD,überspringend,überspringend
",",PUNCT,"$,",",",","
streifte,VERB,VVFIN,streifen,streifen
er,PRON,PPER,er,er
mehr,ADV,ADV,mehr,mehr
als,CONJ,KOKOM,als,als
einmal,ADV,ADV,einmal,einmal
ans,ADP,APPRART,an,an
Lächerliche,NOUN,NN,Lächerliche,lächerlich
und,CONJ,KON,und,und
machte,VERB,VVFIN,machen,machen
endlich,ADV,ADV,endlich,endlich
nach,ADP,APPR,nach,nach
vollzogener,ADJ,ADJA,vollzogen,vollzogen
Feierlichkeit,NOUN,NN,Feierlichkeit,Feierlichkeit
seinem,DET,PPOSAT,sein,sein
Entzücken,NOUN,NN,Entzücken,entzücken
mit,ADP,APPR,mit,mit
dem,DET,ART,der,der
wiederholten,ADJ,ADJA,wiederholt,wiederholt
Ausrufe,NOUN,NN,Ausruf,Ausruf
:,PUNCT,$.,:,:
»,PUNCT,$(,»,»
Sie,PRON,PPER,sie,sie
ist,AUX,VAFIN,sein,sein
versorgt,VERB,VVPP,versorgen,versorgen
",",PUNCT,"$,",",",","
sie,PRON,PPER,sie,sie
ist,AUX,VAFIN,sein,sein
versorgt,VERB,VVPP,versorgen,versorgen
!,PUNCT,$.,!,!
«,PUNCT,$(,«,«
in,ADP,APPR,in,in
verschwenderischen,ADJ,ADJA,verschwenderisch,verschwenderisch
Küssen,NOUN,NN,Kuss,Kuss
und,CONJ,KON,und,und
Umarmungen,NOUN,NN,Umarmung,Umarmung
Luft,NOUN,NN,Luft,Luft
.,PUNCT,$.,.,.
Plötzlich,ADV,ADV,plötzlich,plötzlich
nahmen,VERB,VVFIN,nehmen,nehmen
aber,ADV,ADV,aber,aber
alle,PRON,PIS,alle,alle
diese,DET,PDAT,dieser,dieser
Verhältnisse,NOUN,NN,Verhältnis,Verhältnis
eine,DET,ART,ein,ein
neue,ADJ,ADJA,neu,neu
Gestalt,NOUN,NN,Gestalt,Gestalt
an,PART,PTKVZ,an,an
.,PUNCT,$.,.,.
Einige,DET,PIAT,einiger,einig
Worte,NOUN,NN,Wort,Wort
",",PUNCT,"$,",",",","
welche,PRON,PRELS,welcher,welche
Uriel,PROPN,NE,Uriel,Uriel
eines,DET,ART,ein,ein
Abends,NOUN,NN,Abend,Abend
im,ADP,APPRART,in,in
Mondschein,NOUN,NN,Mondschein,Mondschein
mit,ADP,APPR,mit,mit
Judith,PROPN,NE,Judith,Judith
wechselte,VERB,VVFIN,wechseln,wechseln
",",PUNCT,"$,",",",","
gaben,VERB,VVFIN,geben,geben
dazu,ADV,PAV,dazu,dazu
die,DET,ART,der,der
Ursache,NOUN,NN,Ursache,Ursache
her,PART,PTKVZ,her,her
.,PUNCT,$.,.,.
Sie,PRON,PPER,sie,sie
hatte,AUX,VAFIN,haben,haben
ihn,PRON,PPER,er,ihn
gefragt,VERB,VVPP,fragen,fragen
",",PUNCT,"$,",",",","
ob,SCONJ,KOUS,ob,ob
er,PRON,PPER,er,er
denn,ADV,ADV,denn,denn
in,ADP,APPR,in,in
Wahrheit,NOUN,NN,Wahrheit,Wahrheit
den,DET,ART,der,der
Namen,NOUN,NN,Name,Name
eines,DET,ART,ein,ein
Sadducäers,NOUN,NN,Sadduzäer,Sadducäer
verdiene,VERB,VVFIN,verdienen,verdienen
",",PUNCT,"$,",",",","
den,PRON,PRELS,der,der
man,PRON,PIS,man,man
ihm,PRON,PPER,er,ihm
allgemein,ADV,ADV,allgemein,allgemein
gäbe,VERB,VVFIN,geben,geben
.,PUNCT,$.,.,.
Wir,PRON,PPER,wir,wir
durchzogen,VERB,VVFIN,durchziehen,durchziehen
das,DET,ART,der,der
südliche,ADJ,ADJA,südlich,südlich
Deutschland,PROPN,NE,Deutschland,Deutschland
.,PUNCT,$.,.,.
In,ADP,APPR,in,in
einer,DET,ART,ein,ein
kleinen,ADJ,ADJA,klein,klein
Stadt,NOUN,NN,Stadt,Stadt
trafen,VERB,VVFIN,treffen,treffen
wir,PRON,PPER,wir,wir
auf,ADP,APPR,auf,auf
einen,DET,ART,ein,ein
italienischen,ADJ,ADJA,italienisch,italienisch
Tenor,NOUN,NN,Tenor,Tenor
",",PUNCT,"$,",",",","
der,PRON,PRELS,der,der
von,ADP,APPR,von,von
Mailand,PROPN,NE,Mailand,Mailand
nach,ADP,APPR,nach,nach
Berlin,PROPN,NE,Berlin,Berlin
wollte,VERB,VMFIN,wollen,wollen
.,PUNCT,$.,.,.
Meine,DET,PPOSAT,mein,mein
Damen,NOUN,NN,Dame,Dame
waren,AUX,VAFIN,sein,sein
entzückt,ADJ,ADJD,entzückt,entzücken
über,ADP,APPR,über,über
den,DET,ART,der,der
Landsmann,NOUN,NN,Landsmann,Landsmann
;,PUNCT,$.,;,;
er,PRON,PPER,er,er
trennte,VERB,VVFIN,trennen,trennen
sich,PRON,PRF,sich,sich
nicht,PART,PTKNEG,nicht,nicht
von,ADP,APPR,von,von
ihnen,PRON,PPER,sie,ihnen
",",PUNCT,"$,",",",","
vorzüglich,ADV,ADV,vorzüglich,vorzüglich
hielt,VERB,VVFIN,halten,halten
er,PRON,PPER,er,er
sich,PRON,PRF,sich,sich
an,ADP,APPR,an,an
Teresina,PROPN,NE,Teresina,Teresina
",",PUNCT,"$,",",",","
und,CONJ,KON,und,und
zu,ADP,APPR,zu,zu
meinem,DET,PPOSAT,mein,mein
nicht,PART,PTKNEG,nicht,nicht
geringen,ADJ,ADJA,gering,gering
Ärger,NOUN,NN,Ärger,Ärger
spielte,VERB,VVFIN,spielen,spielen
ich,PRON,PPER,ich,ich
eine,DET,ART,ein,ein
ziemlich,ADV,ADV,ziemlich,ziemlich
untergeordnete,ADJ,ADJA,untergeordnet,untergeordnet
Rolle,NOUN,NN,Rolle,Rolle
.,PUNCT,$.,.,.
Einst,ADV,ADV,einst,einst
wollte,VERB,VMFIN,wollen,wollen
ich,PRON,PPER,ich,ich
mit,ADP,APPR,mit,mit
einer,DET,ART,ein,ein
Partitur,NOUN,NN,Partitur,Partitur
unter,ADP,APPR,unter,unter
dem,DET,ART,der,der
Arm,NOUN,NN,Arm,Arm
gerade,ADV,ADV,gerade,gerade
ins,ADP,APPRART,in,in
Zimmer,NOUN,NN,Zimmer,Zimmer
treten,VERB,VVINF,treten,treten
",",PUNCT,"$,",",",","
als,SCONJ,KOUS,als,als
ich,PRON,PPER,ich,ich
drinnen,ADV,ADV,drinnen,drinnen
ein,DET,ART,ein,ein
lebhaftes,ADJ,ADJA,lebhaft,lebhaft
Gespräch,NOUN,NN,Gespräch,Gespräch
zwischen,ADP,APPR,zwischen,zwischen
meinen,DET,PPOSAT,mein,meinen
Damen,NOUN,NN,Dame,Dame
und,CONJ,KON,und,und
dem,DET,ART,der,der
Tenor,NOUN,NN,Tenor,Tenor
vernahm,VERB,VVFIN,vernehmen,vernehmen
.,PUNCT,$.,.,.
Mein,DET,PPOSAT,mein,mein
Name,NOUN,NN,Name,Name
wurde,AUX,VAFIN,werden,werden
genannt,VERB,VVPP,nennen,nennen
–,PUNCT,$(,-,–
ich,PRON,PPER,ich,ich
stutzte,VERB,VVFIN,stutzen,stutzen
",",PUNCT,"$,",",",","
ich,PRON,PPER,ich,ich
horchte,VERB,VVFIN,horchen,horchen
.,PUNCT,$.,.,.
Das,DET,ART,der,der
Italienische,NOUN,NN,Italienisch,italienisch
verstand,VERB,VVFIN,verstehen,verstehen
ich,PRON,PPER,ich,ich
jetzt,ADV,ADV,jetzt,jetzt
so,ADV,ADV,so,so
gut,ADJ,ADJD,gut,gut
",",PUNCT,"$,",",",","
daß,SCONJ,KOUS,dass,daß
mir,PRON,PPER,ich,mir
kein,DET,PIAT,kein,kein
Wort,NOUN,NN,Wort,Wort
entging,VERB,VVFIN,entgehen,entgehen
.,PUNCT,$.,.,.
Lauretta,PROPN,NE,Lauretta,Lauretta
erzählte,VERB,VVFIN,erzählen,erzählen
eben,ADV,ADV,eben,eben
den,DET,ART,der,der
tragischen,ADJ,ADJA,tragisch,tragisch
Vorfall,NOUN,NN,Vorfall,Vorfall
im,ADP,APPRART,in,in
Konzert,NOUN,NN,Konzert,Konzert
",",PUNCT,"$,",",",","
wie,SCONJ,KOUS,wie,wie
ich,PRON,PPER,ich,ich
ihr,PRON,PPER,sie,ihr
durch,ADP,APPR,durch,durch
unzeitiges,ADJ,ADJA,unzeitig,unzeitig
Niederschlagen,NOUN,NN,Niederschlagen,Niederschlag
den,DET,ART,der,der
Triller,NOUN,NN,Triller,trillern
abgeschnitten,VERB,VVPP,abschneiden,abschneiden
.,PUNCT,$.,.,.
›,PUNCT,$(,›,›
Asino,X,FM,Asino,Asino
tedesco,X,FM,tedesco,Tedesco
‹,PUNCT,$(,‹,‹
",",PUNCT,"$,",",",","
