token,tag,tag_STTS,lemma_gold,lemma_pred
Du,PRON,PPER,du,Du
willst,VERB,VMFIN,wollen,willst
alles,PRON,PIS,alle,alles
wissen,VERB,VVINF,wissen,wissen
.,PUNCT,$.,.,.
Es,PRON,PPER,es,Es
ist,AUX,VAFIN,sein,ist
mein,DET,PPOSAT,mein,mein
Töff,NOUN,NN,Töff,Töff
",",PUNCT,"$,",",",","
oder,CONJ,KON,oder,oder
!,PUNCT,$.,!,!
Gut,ADJ,ADJD,gut,Gut
",",PUNCT,"$,",",",","
also,ADV,ADV,also,also
das,DET,ART,der,das
Benzin,NOUN,NN,Benzin,Benzin
geht,VERB,VVFIN,gehen,geht
hier,ADV,ADV,hier,hier
durch,PART,PTKVZ,durch,durch
",",PUNCT,"$,",",",","
da,ADV,ADV,da,da
hinein,PART,PTKVZ,hinein,hinein
.,PUNCT,$.,.,.
Da,ADV,ADV,da,Da
drin,ADV,PAV,drin,drin
ist,AUX,VAFIN,sein,ist
es,PRON,PPER,es,es
sehr,ADV,ADV,sehr,sehr
heiss,ADJ,ADJD,heiß,heiss
.,PUNCT,$.,.,.
Dann,ADV,ADV,dann,Dann
die,DET,ART,der,die
Kerze,NOUN,NN,Kerze,Kerze
maken,VERB,VVFIN,machen,maken
ein,DET,ART,ein,ein
...,PUNCT,$.,...,...
Ja,PART,PTKANT,ja,Ja
",",PUNCT,"$,",",",","
wie,CONJ,KOKOM,wie,wie
ein,DET,ART,ein,ein
Messer,NOUN,NN,Messer,Messer
auf,ADP,APPR,auf,auf
dem,DET,ART,der,dem
Schleifstein,NOUN,NN,Schleifstein,Schleifstein
.,PUNCT,$.,.,.
Wie,CONJ,KOKOM,wie,Wie
ein,DET,ART,ein,ein
Feuerzeug,NOUN,NN,Feuerzeug,Feuerzeug
.,PUNCT,$.,.,.
Ein,DET,ART,ein,Ein
Funke,NOUN,NN,Funke,Funke
.,PUNCT,$.,.,.
Funke,NOUN,NN,Funke,Funke
...,PUNCT,$(,...,...
gut,ADJ,ADJD,gut,gut
.,PUNCT,$.,.,.
Anateo,PROPN,NE,Anateo,Anateo
hat,AUX,VAFIN,haben,hat
uns,PRON,PPER,wir,uns
alle,PRON,PIS,alle,alle
verraten,VERB,VVPP,verraten,verraten
und,CONJ,KON,und,und
er,PRON,PPER,er,er
wird,AUX,VAFIN,werden,wird
dafür,ADV,PAV,dafür,dafür
bezahlen,VERB,VVINF,bezahlen,bezahlen
.,PUNCT,$.,.,.
Und,CONJ,KON,und,Und
wegen,ADP,APPR,wegen,wegen
der,DET,ART,der,der
Tau'ri,PROPN,NE,Tau'ri,Tau'ri
...,PUNCT,$(,...,...
sie,PRON,PPER,sie,sie
befanden,VERB,VVFIN,befinden,befanden
sich,PRON,PRF,sich,sich
schon,ADV,ADV,schon,schon
im,ADP,APPRART,in,im
Krieg,NOUN,NN,Krieg,Krieg
