token,tag,tag_STTS,lemma_gold,lemma_pred
Du,PRON,PPER,du,
willst,VERB,VMFIN,wollen,wollen
alles,PRON,PIS,alle,
wissen,VERB,VVINF,wissen,wissen
.,PUNCT,$.,.,
Es,PRON,PPER,es,
ist,AUX,VAFIN,sein,
mein,DET,PPOSAT,mein,
Töff,NOUN,NN,Töff,Töff
",",PUNCT,"$,",",",
oder,CONJ,KON,oder,
!,PUNCT,$.,!,
Gut,ADJ,ADJD,gut,gut
",",PUNCT,"$,",",",
also,ADV,ADV,also,also
das,DET,ART,der,
Benzin,NOUN,NN,Benzin,Benzin
geht,VERB,VVFIN,gehen,gehen
hier,ADV,ADV,hier,hier
durch,PART,PTKVZ,durch,
",",PUNCT,"$,",",",
da,ADV,ADV,da,da
hinein,PART,PTKVZ,hinein,
.,PUNCT,$.,.,
Da,ADV,ADV,da,da
drin,ADV,PAV,drin,drin
ist,AUX,VAFIN,sein,
es,PRON,PPER,es,
sehr,ADV,ADV,sehr,sehr
heiss,ADJ,ADJD,heiß,heiss
.,PUNCT,$.,.,
Dann,ADV,ADV,dann,dann
die,DET,ART,der,
Kerze,NOUN,NN,Kerze,Kerze
maken,VERB,VVFIN,machen,maken
ein,DET,ART,ein,
...,PUNCT,$.,...,
Ja,PART,PTKANT,ja,
",",PUNCT,"$,",",",
wie,CONJ,KOKOM,wie,
ein,DET,ART,ein,
Messer,NOUN,NN,Messer,Messer
auf,ADP,APPR,auf,
dem,DET,ART,der,
Schleifstein,NOUN,NN,Schleifstein,Schleifstein
.,PUNCT,$.,.,
Wie,CONJ,KOKOM,wie,
ein,DET,ART,ein,
Feuerzeug,NOUN,NN,Feuerzeug,Feuerzeug
.,PUNCT,$.,.,
Ein,DET,ART,ein,
Funke,NOUN,NN,Funke,Funke
.,PUNCT,$.,.,
Funke,NOUN,NN,Funke,Funke
...,PUNCT,$(,...,
gut,ADJ,ADJD,gut,gut
.,PUNCT,$.,.,
Anateo,PROPN,NE,Anateo,
hat,AUX,VAFIN,haben,
uns,PRON,PPER,wir,
alle,PRON,PIS,alle,
verraten,VERB,VVPP,verraten,verraten
und,CONJ,KON,und,
er,PRON,PPER,er,
wird,AUX,VAFIN,werden,
dafür,ADV,PAV,dafür,dafür
bezahlen,VERB,VVINF,bezahlen,bezahlen
.,PUNCT,$.,.,
Und,CONJ,KON,und,
wegen,ADP,APPR,wegen,
der,DET,ART,der,
Tau'ri,PROPN,NE,Tau'ri,
...,PUNCT,$(,...,
sie,PRON,PPER,sie,
befanden,VERB,VVFIN,befinden,befinden
sich,PRON,PRF,sich,
schon,ADV,ADV,schon,schon
im,ADP,APPRART,in,
Krieg,NOUN,NN,Krieg,Krieg
gegen,ADP,APPR,gegen,
uns,PRON,PPER,wir,
und,CONJ,KON,und,
wir,PRON,PPER,wir,
gegen,ADP,APPR,gegen,
sie,PRON,PPER,sie,
...,PUNCT,$.,...,
und,CONJ,KON,und,
ich,PRON,PPER,ich,
werde,AUX,VAFIN,werden,
mich,PRON,PRF,ich,
nicht,PART,PTKNEG,nicht,
ängstlich,ADJ,ADJD,ängstlich,ängstlich
verkriechen,VERB,VVINF,verkriechen,verkriechen
.,PUNCT,$.,.,
Sagt,VERB,VVIMP,sagen,sagen
das,PRON,PDS,der,
weiter,PART,PTKVZ,weiter,
.,PUNCT,$.,.,
Schickt,VERB,VVIMP,schicken,schicken
alle,DET,PIAT,aller,
verfügbaren,ADJ,ADJA,verfügbar,verfügbar
Schiffe,NOUN,NN,Schiff,Schiff
.,PUNCT,$.,.,
Ich,PRON,PPER,ich,
will,VERB,VMFIN,wollen,wollen
",",PUNCT,"$,",",",
dass,SCONJ,KOUS,dass,
die,DET,ART,der,
0dyssey,PROPN,NE,Odyssey,
gefunden,VERB,VVPP,finden,finden
wird,AUX,VAFIN,werden,
.,PUNCT,$.,.,
Sofort,ADV,ADV,sofort,sofort
!,PUNCT,$.,!,
Kefflin,PROPN,NE,Kefflin,
.,PUNCT,$.,.,
War,AUX,VAFIN,sein,
es,PRON,PPER,es,
wirklich,ADV,ADV,wirklich,wirklich
nötig,ADJ,ADJD,nötig,nötig
",",PUNCT,"$,",",",
mich,PRON,PPER,ich,
so,ADV,ADV,so,so
zu,PART,PTKZU,zu,
blamieren,VERB,VVINF,blamieren,blamieren
?,PUNCT,$.,?,
Es,PRON,PPER,es,
gab,VERB,VVFIN,geben,geben
Gerüchte,NOUN,NN,Gerücht,Gerücht
wegen,ADP,APPR,wegen,
der,DET,ART,der,
Stärke,NOUN,NN,Stärke,Stärke
deiner,DET,PPOSAT,dein,
Führung,NOUN,NN,Führung,Führung
.,PUNCT,$.,.,
Jetzt,ADV,ADV,jetzt,jetzt
werden,AUX,VAFIN,werden,
diese,DET,PDAT,dieser,
Gerüchte,NOUN,NN,Gerücht,Gerücht
aufhören,VERB,VVINF,aufhören,aufhören
.,PUNCT,$.,.,
Und,CONJ,KON,und,
?,PUNCT,$.,?,
Wirst,AUX,VAFIN,werden,
du,PRON,PPER,du,
es,PRON,PPER,es,
so,ADV,ADV,so,so
lassen,VERB,VVINF,lassen,lassen
oder,CONJ,KON,oder,
wirst,AUX,VAFIN,werden,
du,PRON,PPER,du,
das,PRON,PDS,der,
in,ADP,APPR,in,
Ordnung,NOUN,NN,Ordnung,Ordnung
bringen,VERB,VVINF,bringen,bringen
?,PUNCT,$.,?,
Bist,AUX,VAFIN,sein,
du,PRON,PPER,du,
glücklich,ADJ,ADJD,glücklich,glücklich
?,PUNCT,$.,?,
Ja,PART,PTKANT,ja,
.,PUNCT,$.,.,
-,PUNCT,$(,-,
Es,PRON,PPER,es,
ist,AUX,VAFIN,sein,
nett,ADJ,ADJD,nett,nett
von,ADP,APPR,von,
dir,PRON,PPER,du,
",",PUNCT,"$,",",",
dass,SCONJ,KOUS,dass,
du,PRON,PPER,du,
hilfst,VERB,VVFIN,helfen,helfen
.,PUNCT,$.,.,
-,PUNCT,$(,-,
Einmal,ADV,ADV,einmal,einmal
ein,DET,ART,ein,
Pfadfinder,NOUN,NN,Pfadfinder,Pfadfinder
",",PUNCT,"$,",",",
immer,ADV,ADV,immer,immer
ein,DET,ART,ein,
Pfadfinder,NOUN,NN,Pfadfinder,Pfadfinder
.,PUNCT,$.,.,
-,PUNCT,$(,-,
Du,PRON,PPER,du,
warst,AUX,VAFIN,sein,
nie,ADV,ADV,nie,nie
ein,DET,ART,ein,
Pfandfinder,NOUN,NN,Pfadfinder,Pfandfinder
.,PUNCT,$.,.,
-,PUNCT,$(,-,
Offensichtlich,ADV,ADV,offensichtlich,offensichtlich
habe,AUX,VAFIN,haben,
ich,PRON,PPER,ich,
mein,DET,PPOSAT,mein,
...,PUNCT,$.,...,
Verdienstabzeichen,NOUN,NN,Verdienstabzeichen,Verdienstabzeichen
für,ADP,APPR,für,
Biberfallen,NOUN,NN,Biberfalle,Biberfalle
bekommen,VERB,VVPP,bekommen,bekommen
.,PUNCT,$.,.,
-,PUNCT,$(,-,
Konzentriere,VERB,VVIMP,konzentrieren,konzentrieren
dich,PRON,PRF,du,
lieber,ADV,ADV,lieber,lieber
da,ADV,ADV,da,da
drauf,ADV,PAV,drauf,drauf
.,PUNCT,$.,.,
Kommt,VERB,VVIMP,kommen,kommen
mit,ADP,APPR,mit,
mir,PRON,PPER,ich,
.,PUNCT,$.,.,
Wisst,VERB,VVFIN,wissen,wissen
ihr,PRON,PPER,ihr,
",",PUNCT,"$,",",",
wie,ADV,PWAV,wie,wie
wertvoll,ADJ,ADJD,wertvoll,wertvoll
diese,DET,PDAT,dieser,
Mohnblumen,NOUN,NN,Mohnblume,Mohnblume
waren,AUX,VAFIN,sein,
?,PUNCT,$.,?,
In,ADP,APPR,in,
Rauch,NOUN,NN,Rauch,Rauch
aufgegangen,VERB,VVPP,aufgehen,aufgehen
.,PUNCT,$.,.,
-,PUNCT,$(,-,
Was,PRON,PWS,was,
?,PUNCT,$.,?,
Hat,AUX,VAFIN,haben,
sie,PRON,PPER,sie,
jemand,PRON,PIS,jemand,
angezündet,VERB,VVPP,anzünden,anzünden
?,PUNCT,$.,?,
-,PUNCT,$(,-,
Ja,PART,PTKANT,ja,
.,PUNCT,$.,.,
Betrunkene,ADJ,ADJA,betrunken,betrunken
irische,ADJ,ADJA,irisch,irisch
Familie,NOUN,NN,Familie,Familie
",",PUNCT,"$,",",",
die,DET,ART,der,
Straße,NOUN,NN,Straße,Straße
hoch,ADV,ADV,hoch,hoch
.,PUNCT,$.,.,
Die,DET,ART,der,
O'Hallorans,PROPN,NE,O'Halloran,
.,PUNCT,$.,.,
Warum,ADV,PWAV,warum,warum
?,PUNCT,$.,?,
Was,PRON,PWS,was,
hast,AUX,VAFIN,haben,
du,PRON,PPER,du,
getan,VERB,VVPP,tun,tun
",",PUNCT,"$,",",",
um,SCONJ,KOUI,um,
sie,PRON,PPER,sie,
zu,PART,PTKZU,zu,
verärgern,VERB,VVINF,verärgern,verärgern
?,PUNCT,$.,?,
-,PUNCT,$(,-,
Arbeitet,VERB,VVFIN,arbeiten,arbeiten
sie,PRON,PPER,sie,
nicht,PART,PTKNEG,nicht,
für,ADP,APPR,für,
dich,PRON,PPER,du,
",",PUNCT,"$,",",",
Vince,PROPN,NE,Vince,
?,PUNCT,$.,?,
-,PUNCT,$(,-,
Ja,PART,PTKANT,ja,
",",PUNCT,"$,",",",
allerdings,ADV,ADV,allerdings,allerdings
.,PUNCT,$.,.,
Und,CONJ,KON,und,
bei,ADP,APPR,bei,
E,NOUN,NN,E,E
einfach,ADV,ADV,einfach,einfach
den,DET,ART,der,
