token,tag,tag_STTS,lemma_gold,lemma_pred
Du,PRON,PPER,du,
willst,VERB,VMFIN,wollen,wollen
alles,PRON,PIS,alle,alle
wissen,VERB,VVINF,wissen,wissen
.,PUNCT,$.,.,.
Es,PRON,PPER,es,
ist,AUX,VAFIN,sein,sein
mein,DET,PPOSAT,mein,
Töff,NOUN,NN,Töff,Töff
",",PUNCT,"$,",",",","
oder,CONJ,KON,oder,oder
!,PUNCT,$.,!,!
Gut,ADJ,ADJD,gut,gut
",",PUNCT,"$,",",",","
also,ADV,ADV,also,also
das,DET,ART,der,
Benzin,NOUN,NN,Benzin,Benzin
geht,VERB,VVFIN,gehen,gehen
hier,ADV,ADV,hier,hier
durch,PART,PTKVZ,durch,durch
",",PUNCT,"$,",",",","
da,ADV,ADV,da,da
hinein,PART,PTKVZ,hinein,hinein
.,PUNCT,$.,.,.
Da,ADV,ADV,da,da
drin,ADV,PAV,drin,drin
ist,AUX,VAFIN,sein,sein
es,PRON,PPER,es,
sehr,ADV,ADV,sehr,sehr
heiss,ADJ,ADJD,heiß,heiß
.,PUNCT,$.,.,.
Dann,ADV,ADV,dann,dann
die,DET,ART,der,
Kerze,NOUN,NN,Kerze,Kerze
maken,VERB,VVFIN,machen,
ein,DET,ART,ein,ein
...,PUNCT,$.,...,...
Ja,PART,PTKANT,ja,ja
",",PUNCT,"$,",",",","
wie,CONJ,KOKOM,wie,wie
ein,DET,ART,ein,ein
Messer,NOUN,NN,Messer,Messer
auf,ADP,APPR,auf,auf
dem,DET,ART,der,
Schleifstein,NOUN,NN,Schleifstein,Schleifstein
.,PUNCT,$.,.,.
Wie,CONJ,KOKOM,wie,wie
ein,DET,ART,ein,ein
Feuerzeug,NOUN,NN,Feuerzeug,Feuerzeug
.,PUNCT,$.,.,.
Ein,DET,ART,ein,ein
Funke,NOUN,NN,Funke,Funke
.,PUNCT,$.,.,.
Funke,NOUN,NN,Funke,Funke
...,PUNCT,$(,...,...
gut,ADJ,ADJD,gut,gut
.,PUNCT,$.,.,.
Anateo,PROPN,NE,Anateo,Anateo
hat,AUX,VAFIN,haben,haben
uns,PRON,PPER,wir,
alle,PRON,PIS,alle,alle
verraten,VERB,VVPP,verraten,verraten
und,CONJ,KON,und,und
er,PRON,PPER,er,er
wird,AUX,VAFIN,werden,werden
dafür,ADV,PAV,dafür,dafür
bezahlen,VERB,VVINF,bezahlen,bezahlen
.,PUNCT,$.,.,.
Und,CONJ,KON,und,und
wegen,ADP,APPR,wegen,wegen
der,DET,ART,der,
Tau'ri,PROPN,NE,Tau'ri,Tau'ri
...,PUNCT,$(,...,...
sie,PRON,PPER,sie,sie
befanden,VERB,VVFIN,befinden,befinden
sich,PRON,PRF,sich,
schon,ADV,ADV,schon,schon
im,ADP,APPRART,in,in
Krieg,NOUN,NN,Krieg,Krieg
gegen,ADP,APPR,gegen,gegen
uns,PRON,PPER,wir,
und,CONJ,KON,und,und
wir,PRON,PPER,wir,
gegen,ADP,APPR,gegen,gegen
sie,PRON,PPER,sie,sie
...,PUNCT,$.,...,...
und,CONJ,KON,und,und
ich,PRON,PPER,ich,
werde,AUX,VAFIN,werden,werden
mich,PRON,PRF,ich,
nicht,PART,PTKNEG,nicht,nicht
ängstlich,ADJ,ADJD,ängstlich,ängstlich
verkriechen,VERB,VVINF,verkriechen,verkriechen
.,PUNCT,$.,.,.
Sagt,VERB,VVIMP,sagen,sagen
das,PRON,PDS,der,
weiter,PART,PTKVZ,weiter,weiter
.,PUNCT,$.,.,.
Schickt,VERB,VVIMP,schicken,schicken
alle,DET,PIAT,aller,
verfügbaren,ADJ,ADJA,verfügbar,verfügbar
Schiffe,NOUN,NN,Schiff,Schiff
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,
will,VERB,VMFIN,wollen,wollen
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
die,DET,ART,der,
0dyssey,PROPN,NE,Odyssey,
gefunden,VERB,VVPP,finden,finden
wird,AUX,VAFIN,werden,werden
.,PUNCT,$.,.,.
Sofort,ADV,ADV,sofort,sofort
!,PUNCT,$.,!,!
Kefflin,PROPN,NE,Kefflin,Kefflin
.,PUNCT,$.,.,.
War,AUX,VAFIN,sein,sein
es,PRON,PPER,es,
wirklich,ADV,ADV,wirklich,wirklich
nötig,ADJ,ADJD,nötig,nötig
",",PUNCT,"$,",",",","
mich,PRON,PPER,ich,
so,ADV,ADV,so,so
zu,PART,PTKZU,zu,zu
blamieren,VERB,VVINF,blamieren,blamieren
?,PUNCT,$.,?,?
Es,PRON,PPER,es,
gab,VERB,VVFIN,geben,geben
Gerüchte,NOUN,NN,Gerücht,Gerücht
wegen,ADP,APPR,wegen,wegen
der,DET,ART,der,
Stärke,NOUN,NN,Stärke,Stärke
deiner,DET,PPOSAT,dein,
Führung,NOUN,NN,Führung,Führung
.,PUNCT,$.,.,.
Jetzt,ADV,ADV,jetzt,jetzt
werden,AUX,VAFIN,werden,werden
diese,DET,PDAT,dieser,
Gerüchte,NOUN,NN,Gerücht,Gerücht
aufhören,VERB,VVINF,aufhören,aufhören
.,PUNCT,$.,.,.
Und,CONJ,KON,und,und
?,PUNCT,$.,?,?
Wirst,AUX,VAFIN,werden,werden
du,PRON,PPER,du,
es,PRON,PPER,es,
so,ADV,ADV,so,so
lassen,VERB,VVINF,lassen,lassen
oder,CONJ,KON,oder,oder
wirst,AUX,VAFIN,werden,werden
du,PRON,PPER,du,
das,PRON,PDS,der,
in,ADP,APPR,in,in
Ordnung,NOUN,NN,Ordnung,Ordnung
bringen,VERB,VVINF,bringen,bringen
?,PUNCT,$.,?,?
Bist,AUX,VAFIN,sein,sein
du,PRON,PPER,du,
glücklich,ADJ,ADJD,glücklich,glücklich
?,PUNCT,$.,?,?
Ja,PART,PTKANT,ja,ja
.,PUNCT,$.,.,.
-,PUNCT,$(,-,-
Es,PRON,PPER,es,
ist,AUX,VAFIN,sein,sein
nett,ADJ,ADJD,nett,nett
von,ADP,APPR,von,von
dir,PRON,PPER,du,
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
du,PRON,PPER,du,
hilfst,VERB,VVFIN,helfen,helfen
.,PUNCT,$.,.,.
-,PUNCT,$(,-,-
Einmal,ADV,ADV,einmal,einmal
ein,DET,ART,ein,ein
Pfadfinder,NOUN,NN,Pfadfinder,Pfadfinder
",",PUNCT,"$,",",",","
immer,ADV,ADV,immer,immer
ein,DET,ART,ein,ein
Pfadfinder,NOUN,NN,Pfadfinder,Pfadfinder
.,PUNCT,$.,.,.
-,PUNCT,$(,-,-
Du,PRON,PPER,du,
warst,AUX,VAFIN,sein,sein
nie,ADV,ADV,nie,nie
ein,DET,ART,ein,ein
Pfandfinder,NOUN,NN,Pfadfinder,
.,PUNCT,$.,.,.
-,PUNCT,$(,-,-
Offensichtlich,ADV,ADV,offensichtlich,offensichtlich
habe,AUX,VAFIN,haben,haben
ich,PRON,PPER,ich,
mein,DET,PPOSAT,mein,
...,PUNCT,$.,...,...
Verdienstabzeichen,NOUN,NN,Verdienstabzeichen,Verdienstabzeichen
für,ADP,APPR,für,für
Biberfallen,NOUN,NN,Biberfalle,Biberfalle
bekommen,VERB,VVPP,bekommen,bekommen
.,PUNCT,$.,.,.
-,PUNCT,$(,-,-
Konzentriere,VERB,VVIMP,konzentrieren,konzentrieren
dich,PRON,PRF,du,
lieber,ADV,ADV,lieber,lieber
da,ADV,ADV,da,da
drauf,ADV,PAV,drauf,drauf
.,PUNCT,$.,.,.
Kommt,VERB,VVIMP,kommen,kommen
mit,ADP,APPR,mit,mit
mir,PRON,PPER,ich,
.,PUNCT,$.,.,.
Wisst,VERB,VVFIN,wissen,wissen
ihr,PRON,PPER,ihr,
",",PUNCT,"$,",",",","
wie,ADV,PWAV,wie,wie
wertvoll,ADJ,ADJD,wertvoll,wertvoll
diese,DET,PDAT,dieser,
Mohnblumen,NOUN,NN,Mohnblume,Mohnblume
waren,AUX,VAFIN,sein,sein
?,PUNCT,$.,?,?
In,ADP,APPR,in,in
Rauch,NOUN,NN,Rauch,Rauch
aufgegangen,VERB,VVPP,aufgehen,aufgehen
.,PUNCT,$.,.,.
-,PUNCT,$(,-,-
Was,PRON,PWS,was,was
?,PUNCT,$.,?,?
Hat,AUX,VAFIN,haben,haben
sie,PRON,PPER,sie,sie
jemand,PRON,PIS,jemand,jemand
angezündet,VERB,VVPP,anzünden,anzünden
?,PUNCT,$.,?,?
-,PUNCT,$(,-,-
Ja,PART,PTKANT,ja,ja
.,PUNCT,$.,.,.
Betrunkene,ADJ,ADJA,betrunken,betrunken
irische,ADJ,ADJA,irisch,irisch
Familie,NOUN,NN,Familie,Familie
",",PUNCT,"$,",",",","
die,DET,ART,der,
Straße,NOUN,NN,Straße,Straße
hoch,ADV,ADV,hoch,hoch
.,PUNCT,$.,.,.
Die,DET,ART,der,
O'Hallorans,PROPN,NE,O'Halloran,
.,PUNCT,$.,.,.
Warum,ADV,PWAV,warum,warum
?,PUNCT,$.,?,?
Was,PRON,PWS,was,was
hast,AUX,VAFIN,haben,haben
du,PRON,PPER,du,
getan,VERB,VVPP,tun,tun
",",PUNCT,"$,",",",","
um,SCONJ,KOUI,um,um
sie,PRON,PPER,sie,sie
zu,PART,PTKZU,zu,zu
verärgern,VERB,VVINF,verärgern,verärgern
?,PUNCT,$.,?,?
-,PUNCT,$(,-,-
Arbeitet,VERB,VVFIN,arbeiten,arbeiten
sie,PRON,PPER,sie,sie
nicht,PART,PTKNEG,nicht,nicht
für,ADP,APPR,für,für
dich,PRON,PPER,du,
