token,tag,tag_STTS,lemma_gold,lemma_pred
Heute,ADV,ADV,heute,Heute
wird,AUX,VAFIN,werden,wird
von,ADP,APPR,von,von
Monaco,PROPN,NE,Monaco,Monaco
aus,ADP,APZR,aus,aus
z.B.,ADV,ADV,z.B.,z.B.
nach,ADP,APPR,nach,nach
Europa,PROPN,NE,Europa,Europa
und,CONJ,KON,und,und
North,X,FM,North,North
Afrika,PROPN,NE,Afrika,Afrika
in,ADP,APPR,in,in
mehr,ADV,ADV,mehr,mehr
als,CONJ,KOKOM,als,als
20,NUM,CARD,20,20
Sprachen,NOUN,NN,Sprache,Sprachen
",",PUNCT,"$,",",",","
das,DET,ART,der,das
Evangelium,NOUN,NN,Evangelium,Evangelium
verbreitet,VERB,VVPP,verbreiten,verbreitet
.,PUNCT,$.,.,.
Auch,ADV,ADV,auch,Auch
für,ADP,APPR,für,für
uns,PRON,PPER,wir,uns
als,CONJ,KOKOM,als,als
Gemeinde,NOUN,NN,Gemeinde,Gemeinde
wird,AUX,VAFIN,werden,wird
Gott,NOUN,NN,Gott,Gott
sorgen,VERB,VVINF,sorgen,sorgen
",",PUNCT,"$,",",",","
wenn,SCONJ,KOUS,wenn,wenn
wir,PRON,PPER,wir,wir
ganz,ADV,ADV,ganz,ganz
und,CONJ,KON,und,und
gar,ADV,ADV,gar,gar
ihm,PRON,PPER,er,ihm
dienen,VERB,VVFIN,dienen,dienen
.,PUNCT,$.,.,.
Und,CONJ,KON,und,Und
als,CONJ,KOKOM,als,als
Zweites,NOUN,NN,Zweite,Zweites
sagt,VERB,VVFIN,sagen,sagt
Jesus,PROPN,NE,Jesus,Jesus
",",PUNCT,"$,",",",","
lohnt,VERB,VVFIN,lohnen,lohnt
es,PRON,PPER,es,es
sich,PRON,PRF,sich,sich
",",PUNCT,"$,",",",","
weil,SCONJ,KOUS,weil,weil
wir,PRON,PPER,wir,wir
in,ADP,APPR,in,in
der,DET,ART,der,der
neuen,ADJ,ADJA,neu,neuen
Welt,NOUN,NN,Welt,Welt
im,ADP,APPRART,in,im
neuen,ADJ,ADJA,neu,neuen
Zeitalter,NOUN,NN,Zeitalter,Zeitalter
",",PUNCT,"$,",",",","
das,DET,ART,der,das
ewige,ADJ,ADJA,ewig,ewige
Leben,NOUN,NN,Leben,Leben
bekommen,VERB,VVFIN,bekommen,bekommen
.,PUNCT,$.,.,.
Das,DET,ART,der,Das
ewige,ADJ,ADJA,ewig,ewige
Leben,NOUN,NN,Leben,Leben
ist,AUX,VAFIN,sein,ist
das,DET,ART,der,das
höchste,ADJ,ADJA,hoch,höchste
Gut,NOUN,NN,Gut,Gut
",",PUNCT,"$,",",",","
das,PRON,PRELS,der,das
ein,DET,ART,ein,ein
Mensch,NOUN,NN,Mensch,Mensch
bekommen,VERB,VVINF,bekommen,bekommen
kann,VERB,VMFIN,können,kann
.,PUNCT,$.,.,.
Es,PRON,PPER,es,Es
gibt,VERB,VVFIN,geben,gibt
nichts,DET,PIAT,nichts,nichts
anstrebenswerteres,NOUN,NN,Anstrebenswertere,anstrebenswerteres
als,CONJ,KOKOM,als,als
das,DET,ART,der,das
ewige,ADJ,ADJA,ewig,ewige
Leben,NOUN,NN,Leben,Leben
.,PUNCT,$.,.,.
Es,PRON,PPER,es,Es
war,AUX,VAFIN,sein,war
am,ADP,APPRART,an,am
Ende,NOUN,NN,Ende,Ende
meines,DET,PPOSAT,mein,meines
Theologiestudiums,NOUN,NN,Theologiestudium,Theologiestudiums
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,Ich
war,AUX,VAFIN,sein,war
voll,ADJ,ADJD,voll,voll
getankt,ADJ,ADJD,getankt,getankt
mit,ADP,APPR,mit,mit
Erkenntnissen,NOUN,NN,Erkenntnis,Erkenntnissen
",",PUNCT,"$,",",",","
voll,ADJ,ADJD,voll,voll
gepumpt,ADJ,ADJD,gepumpt,gepumpt
mit,ADP,APPR,mit,mit
theoretischem,ADJ,ADJA,theoretisch,theoretischem
Wissen,NOUN,NN,Wissen,Wissen
.,PUNCT,$.,.,.
Zuhause,ADV,ADV,zuhause,Zuhause
lag,VERB,VVFIN,liegen,lag
nach,ADP,APPR,nach,nach
langem,ADJ,ADJA,lang,langem
Krebsleiden,NOUN,NN,Krebsleiden,Krebsleiden
die,DET,ART,der,die
schwer,ADJ,ADJD,schwer,schwer
geprüfte,ADJ,ADJA,geprüft,geprüfte
Großmutter,NOUN,NN,Großmutter,Großmutter
mit,ADP,APPR,mit,mit
ihrem,DET,PPOSAT,ihr,ihrem
zerfressenen,ADJ,ADJA,zerfressen,zerfressenen
Gesicht,NOUN,NN,Gesicht,Gesicht
.,PUNCT,$.,.,.
Mir,PRON,PPER,ich,Mir
aber,ADV,ADV,aber,aber
war,AUX,VAFIN,sein,war
der,DET,ART,der,der
Mund,NOUN,NN,Mund,Mund
verschlossen,VERB,VVPP,verschlossen,verschlossen
.,PUNCT,$.,.,.
Kein,DET,PIAT,kein,Kein
Gebetssatz,NOUN,NN,Gebetssatz,Gebetssatz
war,AUX,VAFIN,sein,war
abrufbar,ADJ,ADJD,abrufbar,abrufbar
",",PUNCT,"$,",",",","
keine,PRON,PIS,keiner,keine
der,DET,ART,der,der
vielen,DET,PIAT,vieler,vielen
einst,ADV,ADV,einst,einst
auswendig,ADV,ADV,auswendig,auswendig
gelernten,ADJ,ADJA,gelernt,gelernten
Liedzeilen,NOUN,NN,Liedzeile,Liedzeilen
.,PUNCT,$.,.,.
Schrecklich,ADJ,ADJD,schrecklich,Schrecklich
",",PUNCT,"$,",",",","
unvorstellbar,ADJ,ADJD,unvorstellbar,unvorstellbar
schrecklich,ADJ,ADJD,schrecklich,schrecklich
!,PUNCT,$.,!,!
Seit,ADP,APPR,seit,Seit
jenem,DET,PDAT,jener,jenem
Augenblick,NOUN,NN,Augenblick,Augenblick
weiß,VERB,VVFIN,wissen,weiß
ich,PRON,PPER,ich,ich
:,PUNCT,$.,:,:
Es,PRON,PPER,es,Es
kann,VERB,VMFIN,können,kann
die,DET,ART,der,die
ganze,ADJ,ADJA,ganz,ganze
Quintessenz,NOUN,NN,Quintessenz,Quintessenz
meiner,DET,PPOSAT,mein,meiner
Frömmigkeit,NOUN,NN,Frömmigkeit,Frömmigkeit
null,ADJ,ADJD,null,null
und,CONJ,KON,und,und
nichtig,ADJ,ADJD,nichtig,nichtig
sein,AUX,VAINF,sein,sein
!,PUNCT,$.,!,!
Unbrauchbar,ADJ,ADJD,unbrauchbar,Unbrauchbar
.,PUNCT,$.,.,.
Das,PRON,PDS,der,Das
ist,AUX,VAFIN,sein,ist
ein,DET,ART,ein,ein
wunderbares,ADJ,ADJA,wunderbar,wunderbares
Geheimnis,NOUN,NN,Geheimnis,Geheimnis
.,PUNCT,$.,.,.
Das,PRON,PDS,der,Das
