token,tag,tag_STTS,lemma_gold,lemma_pred
Heute,ADV,ADV,heute,heute
wird,AUX,VAFIN,werden,
von,ADP,APPR,von,
Monaco,PROPN,NE,Monaco,
aus,ADP,APZR,aus,
z.B.,ADV,ADV,z.B.,z.b.
nach,ADP,APPR,nach,
Europa,PROPN,NE,Europa,
und,CONJ,KON,und,
North,X,FM,North,
Afrika,PROPN,NE,Afrika,
in,ADP,APPR,in,
mehr,ADV,ADV,mehr,mehr
als,CONJ,KOKOM,als,
20,NUM,CARD,20,20
Sprachen,NOUN,NN,Sprache,Sprache
",",PUNCT,"$,",",",
das,DET,ART,der,
Evangelium,NOUN,NN,Evangelium,Evangelium
verbreitet,VERB,VVPP,verbreiten,verbreiten
.,PUNCT,$.,.,
Auch,ADV,ADV,auch,auch
für,ADP,APPR,für,
uns,PRON,PPER,wir,
als,CONJ,KOKOM,als,
Gemeinde,NOUN,NN,Gemeinde,Gemeinde
wird,AUX,VAFIN,werden,
Gott,NOUN,NN,Gott,Gott
sorgen,VERB,VVINF,sorgen,sorgen
",",PUNCT,"$,",",",
wenn,SCONJ,KOUS,wenn,
wir,PRON,PPER,wir,
ganz,ADV,ADV,ganz,ganz
und,CONJ,KON,und,
gar,ADV,ADV,gar,gar
ihm,PRON,PPER,er,
dienen,VERB,VVFIN,dienen,dienen
.,PUNCT,$.,.,
Und,CONJ,KON,und,
als,CONJ,KOKOM,als,
Zweites,NOUN,NN,Zweite,Zweites
sagt,VERB,VVFIN,sagen,sagen
Jesus,PROPN,NE,Jesus,
",",PUNCT,"$,",",",
lohnt,VERB,VVFIN,lohnen,lohnen
es,PRON,PPER,es,
sich,PRON,PRF,sich,
",",PUNCT,"$,",",",
weil,SCONJ,KOUS,weil,
wir,PRON,PPER,wir,
in,ADP,APPR,in,
der,DET,ART,der,
neuen,ADJ,ADJA,neu,neu
Welt,NOUN,NN,Welt,Welt
im,ADP,APPRART,in,
neuen,ADJ,ADJA,neu,neu
Zeitalter,NOUN,NN,Zeitalter,Zeitalter
",",PUNCT,"$,",",",
das,DET,ART,der,
ewige,ADJ,ADJA,ewig,ewig
Leben,NOUN,NN,Leben,Leben
bekommen,VERB,VVFIN,bekommen,bekommen
.,PUNCT,$.,.,
Das,DET,ART,der,
ewige,ADJ,ADJA,ewig,ewig
Leben,NOUN,NN,Leben,Leben
ist,AUX,VAFIN,sein,
das,DET,ART,der,
höchste,ADJ,ADJA,hoch,hoch
Gut,NOUN,NN,Gut,Gut
",",PUNCT,"$,",",",
das,PRON,PRELS,der,
ein,DET,ART,ein,
Mensch,NOUN,NN,Mensch,Mensch
bekommen,VERB,VVINF,bekommen,bekommen
kann,VERB,VMFIN,können,können
.,PUNCT,$.,.,
Es,PRON,PPER,es,
gibt,VERB,VVFIN,geben,geben
nichts,DET,PIAT,nichts,
anstrebenswerteres,NOUN,NN,Anstrebenswertere,Anstrebenswerteres
als,CONJ,KOKOM,als,
das,DET,ART,der,
ewige,ADJ,ADJA,ewig,ewig
Leben,NOUN,NN,Leben,Leben
.,PUNCT,$.,.,
Es,PRON,PPER,es,
war,AUX,VAFIN,sein,
am,ADP,APPRART,an,
Ende,NOUN,NN,Ende,Ende
meines,DET,PPOSAT,mein,
Theologiestudiums,NOUN,NN,Theologiestudium,Theologiestudium
.,PUNCT,$.,.,
Ich,PRON,PPER,ich,
war,AUX,VAFIN,sein,
voll,ADJ,ADJD,voll,voll
getankt,ADJ,ADJD,getankt,getankt
mit,ADP,APPR,mit,
Erkenntnissen,NOUN,NN,Erkenntnis,Erkenntnis
",",PUNCT,"$,",",",
voll,ADJ,ADJD,voll,voll
gepumpt,ADJ,ADJD,gepumpt,gepumpt
mit,ADP,APPR,mit,
theoretischem,ADJ,ADJA,theoretisch,theoretisch
Wissen,NOUN,NN,Wissen,Wissen
.,PUNCT,$.,.,
Zuhause,ADV,ADV,zuhause,zuhaus
lag,VERB,VVFIN,liegen,liegen
nach,ADP,APPR,nach,
langem,ADJ,ADJA,lang,lang
Krebsleiden,NOUN,NN,Krebsleiden,Krebsleiden
die,DET,ART,der,
schwer,ADJ,ADJD,schwer,schwer
geprüfte,ADJ,ADJA,geprüft,geprüft
Großmutter,NOUN,NN,Großmutter,Großmutter
mit,ADP,APPR,mit,
ihrem,DET,PPOSAT,ihr,
zerfressenen,ADJ,ADJA,zerfressen,zerfressen
Gesicht,NOUN,NN,Gesicht,Gesicht
.,PUNCT,$.,.,
Mir,PRON,PPER,ich,
aber,ADV,ADV,aber,aber
war,AUX,VAFIN,sein,
der,DET,ART,der,
Mund,NOUN,NN,Mund,Mund
verschlossen,VERB,VVPP,verschlossen,verschließen
.,PUNCT,$.,.,
Kein,DET,PIAT,kein,
Gebetssatz,NOUN,NN,Gebetssatz,Gebetssatz
war,AUX,VAFIN,sein,
abrufbar,ADJ,ADJD,abrufbar,abrufbar
",",PUNCT,"$,",",",
keine,PRON,PIS,keiner,
der,DET,ART,der,
vielen,DET,PIAT,vieler,
einst,ADV,ADV,einst,einst
auswendig,ADV,ADV,auswendig,auswendig
gelernten,ADJ,ADJA,gelernt,gelernt
