token,tag,tag_STTS,lemma_gold,lemma_pred
Heute,ADV,ADV,heute,heute
wird,AUX,VAFIN,werden,werden
von,ADP,APPR,von,von
Monaco,PROPN,NE,Monaco,Monaco
aus,ADP,APZR,aus,aus
z.B.,ADV,ADV,z.B.,z.B.
nach,ADP,APPR,nach,nach
Europa,PROPN,NE,Europa,Europa
und,CONJ,KON,und,und
North,X,FM,North,North
Afrika,PROPN,NE,Afrika,Afrika
in,ADP,APPR,in,in
mehr,ADV,ADV,mehr,mehr
als,CONJ,KOKOM,als,als
20,NUM,CARD,20,20
Sprachen,NOUN,NN,Sprache,Sprache
",",PUNCT,"$,",",",","
das,DET,ART,der,der
Evangelium,NOUN,NN,Evangelium,Evangelium
verbreitet,VERB,VVPP,verbreiten,verbreitet
.,PUNCT,$.,.,.
Auch,ADV,ADV,auch,auch
für,ADP,APPR,für,für
uns,PRON,PPER,wir,wir
als,CONJ,KOKOM,als,als
Gemeinde,NOUN,NN,Gemeinde,Gemeinde
wird,AUX,VAFIN,werden,werden
Gott,NOUN,NN,Gott,Gott
sorgen,VERB,VVINF,sorgen,sorgen
",",PUNCT,"$,",",",","
wenn,SCONJ,KOUS,wenn,wenn
wir,PRON,PPER,wir,wir
ganz,ADV,ADV,ganz,ganz
und,CONJ,KON,und,und
gar,ADV,ADV,gar,gar
ihm,PRON,PPER,er,er
dienen,VERB,VVFIN,dienen,dienen
.,PUNCT,$.,.,.
Und,CONJ,KON,und,und
als,CONJ,KOKOM,als,als
Zweites,NOUN,NN,Zweite,zweit
sagt,VERB,VVFIN,sagen,sagen
Jesus,PROPN,NE,Jesus,Jesus
",",PUNCT,"$,",",",","
lohnt,VERB,VVFIN,lohnen,lohnen
es,PRON,PPER,es,es
sich,PRON,PRF,sich,er|es|sie
",",PUNCT,"$,",",",","
weil,SCONJ,KOUS,weil,weil
wir,PRON,PPER,wir,wir
in,ADP,APPR,in,in
der,DET,ART,der,der
neuen,ADJ,ADJA,neu,neu
Welt,NOUN,NN,Welt,Welt
im,ADP,APPRART,in,im
neuen,ADJ,ADJA,neu,neu
Zeitalter,NOUN,NN,Zeitalter,Zeitalter
",",PUNCT,"$,",",",","
das,DET,ART,der,der
ewige,ADJ,ADJA,ewig,ewig
Leben,NOUN,NN,Leben,Leben
bekommen,VERB,VVFIN,bekommen,bekommen
.,PUNCT,$.,.,.
Das,DET,ART,der,der
ewige,ADJ,ADJA,ewig,ewig
Leben,NOUN,NN,Leben,Leben
ist,AUX,VAFIN,sein,sein
das,DET,ART,der,der
höchste,ADJ,ADJA,hoch,hoch
Gut,NOUN,NN,Gut,Gut
",",PUNCT,"$,",",",","
das,PRON,PRELS,der,der
ein,DET,ART,ein,ein
Mensch,NOUN,NN,Mensch,Mensch
bekommen,VERB,VVINF,bekommen,bekommen
kann,VERB,VMFIN,können,können
.,PUNCT,$.,.,.
Es,PRON,PPER,es,es
gibt,VERB,VVFIN,geben,geben
nichts,DET,PIAT,nichts,nichts
anstrebenswerteres,NOUN,NN,Anstrebenswertere,anstrebenswerteres
als,CONJ,KOKOM,als,als
das,DET,ART,der,der
ewige,ADJ,ADJA,ewig,ewig
Leben,NOUN,NN,Leben,Leben
.,PUNCT,$.,.,.
Es,PRON,PPER,es,es
war,AUX,VAFIN,sein,sein
am,ADP,APPRART,an,am
Ende,NOUN,NN,Ende,Ende
meines,DET,PPOSAT,mein,mein
Theologiestudiums,NOUN,NN,Theologiestudium,Theologiestudium
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,ich
war,AUX,VAFIN,sein,sein
voll,ADJ,ADJD,voll,voll
getankt,ADJ,ADJD,getankt,tanken
mit,ADP,APPR,mit,mit
Erkenntnissen,NOUN,NN,Erkenntnis,Erkenntnis
",",PUNCT,"$,",",",","
voll,ADJ,ADJD,voll,voll
gepumpt,ADJ,ADJD,gepumpt,pumpen
mit,ADP,APPR,mit,mit
theoretischem,ADJ,ADJA,theoretisch,theoretisch
Wissen,NOUN,NN,Wissen,Wissen
.,PUNCT,$.,.,.
Zuhause,ADV,ADV,zuhause,Zuhause
lag,VERB,VVFIN,liegen,liegen
nach,ADP,APPR,nach,nach
langem,ADJ,ADJA,lang,lang
Krebsleiden,NOUN,NN,Krebsleiden,Krebsleiden
die,DET,ART,der,der
schwer,ADJ,ADJD,schwer,schwer
geprüfte,ADJ,ADJA,geprüft,Geprüfte
Großmutter,NOUN,NN,Großmutter,Großmutter
mit,ADP,APPR,mit,mit
ihrem,DET,PPOSAT,ihr,ihr
zerfressenen,ADJ,ADJA,zerfressen,zerfressen
Gesicht,NOUN,NN,Gesicht,Gesicht
.,PUNCT,$.,.,.
Mir,PRON,PPER,ich,ich
aber,ADV,ADV,aber,aber
war,AUX,VAFIN,sein,sein
der,DET,ART,der,der
Mund,NOUN,NN,Mund,Mund
verschlossen,VERB,VVPP,verschlossen,verschlossen
.,PUNCT,$.,.,.
Kein,DET,PIAT,kein,kein
Gebetssatz,NOUN,NN,Gebetssatz,Gebetssatz
war,AUX,VAFIN,sein,sein
abrufbar,ADJ,ADJD,abrufbar,abrufbar
",",PUNCT,"$,",",",","
keine,PRON,PIS,keiner,kein
der,DET,ART,der,der
vielen,DET,PIAT,vieler,viel
einst,ADV,ADV,einst,einst
auswendig,ADV,ADV,auswendig,auswendig
gelernten,ADJ,ADJA,gelernt,gelernt
Liedzeilen,NOUN,NN,Liedzeile,Liedzeilen
.,PUNCT,$.,.,.
Schrecklich,ADJ,ADJD,schrecklich,schrecklich
",",PUNCT,"$,",",",","
unvorstellbar,ADJ,ADJD,unvorstellbar,unvorstellbar
schrecklich,ADJ,ADJD,schrecklich,schrecklich
!,PUNCT,$.,!,!
Seit,ADP,APPR,seit,seit
jenem,DET,PDAT,jener,jener
Augenblick,NOUN,NN,Augenblick,Augenblick
weiß,VERB,VVFIN,wissen,wissen
ich,PRON,PPER,ich,ich
:,PUNCT,$.,:,:
Es,PRON,PPER,es,es
kann,VERB,VMFIN,können,können
die,DET,ART,der,der
ganze,ADJ,ADJA,ganz,ganz
Quintessenz,NOUN,NN,Quintessenz,Quintessenz
meiner,DET,PPOSAT,mein,mein
Frömmigkeit,NOUN,NN,Frömmigkeit,Frömmigkeit
null,ADJ,ADJD,null,nullen
und,CONJ,KON,und,und
nichtig,ADJ,ADJD,nichtig,nichtig
sein,AUX,VAINF,sein,sein
!,PUNCT,$.,!,!
Unbrauchbar,ADJ,ADJD,unbrauchbar,unbrauchbar
.,PUNCT,$.,.,.
Das,PRON,PDS,der,der
ist,AUX,VAFIN,sein,sein
ein,DET,ART,ein,ein
wunderbares,ADJ,ADJA,wunderbar,wunderbar
Geheimnis,NOUN,NN,Geheimnis,Geheimnis
.,PUNCT,$.,.,.
Das,PRON,PDS,der,der
heißt,VERB,VVFIN,heißen,heißen
",",PUNCT,"$,",",",","
ich,PRON,PPER,ich,ich
verstehe,VERB,VVFIN,verstehen,verstehen
es,PRON,PPER,es,es
nicht,PART,PTKNEG,nicht,nicht
mit,ADP,APPR,mit,mit
meinem,DET,PPOSAT,mein,mein
Kopf,NOUN,NN,Kopf,Kopf
",",PUNCT,"$,",",",","
aber,CONJ,KON,aber,aber
es,PRON,PPER,es,es
