token,tag,tag_STTS,lemma_gold,lemma_pred
Als,CONJ,KOKOM,als,Als
nächstes,ADJ,ADJD,nächster,nächst
also,ADV,ADV,also,also
",",PUNCT,"$,",",",","
die,DET,ART,der,die
wissenschaftliche,ADJ,ADJA,wissenschaftlich,wissenschaftlich
Methodik,NOUN,NN,Methodik,Methodik
ein,DET,ART,ein,ein
Grundsatz,NOUN,NN,Grundsatz,Grundsatz
der,DET,ART,der,der
Physik,NOUN,NN,Physik,Physik
",",PUNCT,"$,",",",","
aller,DET,PIAT,aller,all
Wissenschaften,NOUN,NN,Wissenschaft,Wissenschaft
—,PUNCT,$(,-,—
sagt,VERB,VVFIN,sagen,sagen
",",PUNCT,"$,",",",","
daß,SCONJ,KOUS,dass,dass
man,PRON,PIS,man,man
eine,DET,ART,ein,ein
Hypothese,NOUN,NN,Hypothese,Hypothese
nicht,PART,PTKNEG,nicht,nicht
durch,ADP,APPR,durch,durch
Beobachtung,NOUN,NN,Beobachtung,Beobachtung
beweisen,VERB,VVINF,beweisen,beweisen
kann,VERB,VMFIN,können,können
.,PUNCT,$.,.,.
Man,PRON,PIS,man,Mann
kann,VERB,VMFIN,können,können
sie,PRON,PPER,sie,sie
nur,ADV,ADV,nur,nur
widerlegen,VERB,VVINF,widerlegen,widerlegen
.,PUNCT,$.,.,.
Und,CONJ,KON,und,Und
nur,ADV,ADV,nur,nur
eine,DET,ART,ein,ein
einzige,ADJ,ADJA,einziger,einzig
gegenteilige,ADJ,ADJA,gegenteilig,gegenteilig
Information,NOUN,NN,Information,Information
kann,VERB,VMFIN,können,können
die,DET,ART,der,der
ganze,ADJ,ADJA,ganz,ganz
Theorie,NOUN,NN,Theorie,Theorie
kippen,VERB,VVINF,kippen,kippen
.,PUNCT,$.,.,.
Das,PRON,PDS,der,Das
klingt,VERB,VVFIN,klingen,klingen
vielleicht,ADV,ADV,vielleicht,vielleicht
zu,PART,PTKA,zu,zu
simpel,ADJ,ADJD,simpel,simpel
",",PUNCT,"$,",",",","
um,SCONJ,KOUI,um,um
Verhalten,NOUN,NN,Verhalten,Verhalten
zu,PART,PTKZU,zu,zu
beeinflussen,VERB,VVINF,beeinflussen,beeinflussen
",",PUNCT,"$,",",",","
aber,CONJ,KON,aber,aber
in,ADP,APPR,in,in
einer,DET,ART,ein,einer
Studie,NOUN,NN,Studie,Studie
fanden,VERB,VVFIN,finden,finden
wir,PRON,PPER,wir,wir
heraus,PART,PTKVZ,heraus,heraus
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
Achtsamkeitstraining,NOUN,NN,Achtsamkeitstraining,Achtsamkeitstraining
Menschen,NOUN,NN,Mensch,Mensch
doppelt,ADJ,ADJD,doppelt,doppelt
so,ADV,ADV,so,so
gut,ADJ,ADJD,gut,gut
hilft,VERB,VVFIN,helfen,helfen
das,DET,ART,der,das
Rauchen,NOUN,NN,Rauchen,Rauchen
aufzugeben,VERB,VVIZU,aufgeben,aufzugeben
wie,CONJ,KOKOM,wie,wie
die,DET,ART,der,die
beste,ADJ,ADJA,gut,beste
Standardtherapie,NOUN,NN,Standardtherapie,Standardtherapie
.,PUNCT,$.,.,.
Es,PRON,PPER,es,Es
funktioniert,VERB,VVFIN,funktionieren,funktionieren
also,ADV,ADV,also,also
.,PUNCT,$.,.,.
Als,SCONJ,KOUS,als,Als
wir,PRON,PPER,wir,wir
die,DET,ART,der,die
Gehirne,NOUN,NN,Gehirn,Gehirn
geübter,ADJ,ADJA,geübt,geübte
Meditierender,NOUN,NN,Meditierende,Meditierenden
untersuchten,VERB,VVFIN,untersuchen,untersuchen
",",PUNCT,"$,",",",","
erkannten,VERB,VVFIN,erkennen,erkennen
wir,PRON,PPER,wir,wir
",",PUNCT,"$,",",",","
Teile,NOUN,NN,Teil,Teil
der,DET,ART,der,der
neuronalen,ADJ,ADJA,neuronal,neuronalen
Netze,NOUN,NN,Netz,Netz
selbstreferenzieller,ADJ,ADJA,selbstreferenziell,selbstreferenzielle
Verarbeitung,NOUN,NN,Verarbeitung,Verarbeitung
",",PUNCT,"$,",",",","
Bewusstseinsnetzwerk,NOUN,NN,Bewusstseinsnetzwerk,Bewusstseinsnetzwerk
genannt,VERB,VVPP,nennen,genannt
",",PUNCT,"$,",",",","
spielten,VERB,VVFIN,spielen,spielen
hier,ADV,ADV,hier,hier
eine,DET,ART,ein,ein
Rolle,NOUN,NN,Rolle,Rolle
.,PUNCT,$.,.,.
Eine,DET,ART,ein,Eine
aktuelle,ADJ,ADJA,aktuell,aktuell
Hypothese,NOUN,NN,Hypothese,Hypothese
sagt,VERB,VVFIN,sagen,sagen
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
eine,DET,ART,ein,ein
Region,NOUN,NN,Region,Region
dieses,DET,PDAT,dieser,diese
Netzes,NOUN,NN,Netz,Netz
",",PUNCT,"$,",",",","
namens,ADV,ADV,namens,nennen
posteriorer,X,FM,posteriorer,posteriorer
Gyrus,X,FM,Gyrus,Gyrus
cinguli,X,FM,cinguli,cinguli
",",PUNCT,"$,",",",","
nicht,PART,PTKNEG,nicht,nicht
unbedingt,ADV,ADV,unbedingt,unbedingt
durch,ADP,APPR,durch,durch
das,DET,ART,der,das
Verlangen,NOUN,NN,Verlangen,Verlangen
selbst,ADV,ADV,selbst,selbst
aktiviert,VERB,VVPP,aktivieren,aktivieren
wird,AUX,VAFIN,werden,werden
",",PUNCT,"$,",",",","
sondern,CONJ,KON,sondern,sondern
wenn,SCONJ,KOUS,wenn,wenn
wir,PRON,PPER,wir,wir
davon,ADV,PAV,davon,davon
gefangen,VERB,VVPP,fangen,fangen
sind,AUX,VAFIN,sein,sein
",",PUNCT,"$,",",",","
hineingesaugt,VERB,VVPP,hineinsaugen,hineingesaugt
werden,AUX,VAFIN,werden,werden
",",PUNCT,"$,",",",","
und,CONJ,KON,und,und
es,PRON,PPER,es,es
uns,PRON,PPER,wir,uns
hereinlegt,VERB,VVFIN,hereinlegen,hereinlegen
.,PUNCT,$.,.,.
Um,SCONJ,KOUI,um,um
darauf,ADV,PAV,darauf,darauf
zu,PART,PTKZU,zu,zu
achten,VERB,VVINF,achten,achten
",",PUNCT,"$,",",",","
was,PRON,PWS,was,sein
am,PART,PTKA,am,am
besten,ADJ,ADJD,gut,gut
für,ADP,APPR,für,für
sie,PRON,PPER,sie,sie
ist,AUX,VAFIN,sein,sein
",",PUNCT,"$,",",",","
oder,CONJ,KON,oder,oder
was,PRON,PWS,was,sein
sie,PRON,PPER,sie,sie
für,ADP,APPR,für,für
das,DET,ART,der,das
beste,NOUN,NN,Beste,gut
für,ADP,APPR,für,für
sich,PRON,PRF,sich,sich
halten,VERB,VVFIN,halten,halten
",",PUNCT,"$,",",",","
haben,AUX,VAFIN,haben,haben
Menschen,NOUN,NN,Mensch,Mensch
Werte,NOUN,NN,Wert,Wert
—,PUNCT,$(,-,—
diese,PRON,PDS,dieser,diese
identifizieren,VERB,VVFIN,identifizieren,identifizieren
",",PUNCT,"$,",",",","
was,PRON,PWS,was,sein
sie,PRON,PPER,sie,sie
wollen,VERB,VMFIN,wollen,wollen
und,CONJ,KON,und,und
was,PRON,PWS,was,sein
sie,PRON,PPER,sie,sie
nicht,PART,PTKNEG,nicht,nicht
wollen,VERB,VMFIN,wollen,wollen
.,PUNCT,$.,.,.
Im,ADP,APPRART,in,Ich
verschneiten,ADJ,ADJA,verschneit,verschneit
Nordamerika,PROPN,NE,Nordamerika,Nordamerika
waren,AUX,VAFIN,sein,sein
unsere,DET,PPOSAT,unser,unser
Rituale,NOUN,NN,Ritual,Ritual
aus,ADP,APPR,aus,aus
dem,DET,ART,der,der
globalen,ADJ,ADJA,global,global
Süden,NOUN,NN,Süden,Süd
.,PUNCT,$.,.,.
Bei,ADP,APPR,bei,Bei
meinem,DET,PPOSAT,mein,mein
ersten,ADJ,ADJA,erster,erst
Besuch,NOUN,NN,Besuch,Besuch
in,ADP,APPR,in,in
Delhi,PROPN,NE,Delhi,Delhi
oder,CONJ,KON,oder,oder
in,ADP,APPR,in,in
Süditalien,PROPN,NE,Süditalien,Süditalien
war,AUX,VAFIN,sein,sein
ich,PRON,PPER,ich,ich
schockiert,ADJ,ADJD,schockiert,schockieren
",",PUNCT,"$,",",",","
wie,ADV,PWAV,wie,wie
sehr,ADV,ADV,sehr,sehr
ich,PRON,PPER,ich,ich
mich,PRON,PRF,ich,mich
zu,ADP,APPR,zu,zu
Hause,NOUN,NN,Haus,Haus
fühlte,VERB,VVFIN,fühlen,fühle
.,PUNCT,$.,.,.
Die,DET,ART,der,Die Ritual
Rituale,NOUN,NN,Ritual,sein
waren,AUX,VAFIN,sein,werden
vertraut,ADJ,ADJD,vertraut,vertraut
.,PUNCT,$.,.,.
"""",PUNCT,$(,"""",
R,X,XY,R,R
"""",PUNCT,$(,"""",
Nummer,NOUN,NN,Nummer,Nummer
eins,NUM,CARD,eins,ein
:,PUNCT,$.,:,:
Rituale,NOUN,NN,Ritual,Ritual
.,PUNCT,$.,.,.
Denken,VERB,VVIMP,denken,Denken
Sie,PRON,PPER,Sie,Sie
jetzt,ADV,ADV,jetzt,jetzt
an,ADP,APPR,an,an
Beziehungen,NOUN,NN,Beziehung,Beziehung
...,PUNCT,$(,...,...
Menschen,NOUN,NN,Mensch,Mensch
",",PUNCT,"$,",",",","
die,PRON,PRELS,der,der
Ihren,DET,PPOSAT,Ihr,sein
Alltag,NOUN,NN,Alltag,Alltag
bestimmen,VERB,VVFIN,bestimmen,bestimmen
.,PUNCT,$.,.,.
Mit,ADP,APPR,mit,mit
wem,PRON,PWS,wem,wem
sprechen,VERB,VVFIN,sprechen,sprechen
Sie,PRON,PPER,Sie,Sie
mindestens,ADV,ADV,mindestens,mindestens
einmal,ADV,ADV,einmal,einmal
pro,ADP,APPR,pro,pro
Woche,NOUN,NN,Woche,Woche
",",PUNCT,"$,",",",","
entweder,CONJ,KON,entweder,entweder
persönlich,ADJ,ADJD,persönlich,persönlich
oder,CONJ,KON,oder,oder
über,ADP,APPR,über,über
FaceTime,PROPN,NE,FaceTime,FaceTime
?,PUNCT,$.,?,?
Schätzen,VERB,VVIMP,schätzen,schätzen
Sie,PRON,PPER,Sie,Sie
es,PRON,PPER,es,es
realistisch,ADJ,ADJD,realistisch,realistisch
ein,PART,PTKVZ,ein,ein
;,PUNCT,$.,;,;
ich,PRON,PPER,ich,ich
spreche,VERB,VVFIN,sprechen,sprechen
nicht,PART,PTKNEG,nicht,nicht
von,ADP,APPR,von,von
Facebook-Freunden,NOUN,NN,Facebook-Freund,Facebook-Freund
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,Ich
spreche,VERB,VVFIN,sprechen,sprechen
von,ADP,APPR,von,von
Leuten,NOUN,NN,Leute,Leute
",",PUNCT,"$,",",",","
die,PRON,PRELS,der,die
Ihr,DET,PPOSAT,Ihr,Ihr
wöchentliches,ADJ,ADJA,wöchentlich,wöchentlich
emotionales,ADJ,ADJA,emotional,emotional
Erleben,NOUN,NN,Erleben,Erleben
formen,VERB,VVFIN,formen,formen
.,PUNCT,$.,.,.
Der,DET,ART,der,Der
Bildungsminister,NOUN,NN,Bildungsminister,Bildungsminister
im,ADP,APPRART,in,im
Süden,NOUN,NN,Süden,Süden
von,ADP,APPR,von,von
London,PROPN,NE,London,London
bezeichnete,VERB,VVFIN,bezeichnen,bezeichnen
sich,PRON,PRF,sich,sich
selber,ADV,ADV,selber,selbst
als,CONJ,KOKOM,als,als
«,PUNCT,$(,«,«
grossen,ADJ,ADJA,groß,groß
Fan,NOUN,NN,Fan,Fan
»,PUNCT,$(,»,»
.,PUNCT,$.,.,.
Und,CONJ,KON,und,und
die,DET,ART,der,die
Geschäftsorganisationen,NOUN,NN,Geschäftsorganisation,Geschäftsorganisation
dachten,VERB,VVFIN,denken,denken
",",PUNCT,"$,",",",","
wir,PRON,PPER,wir,wir
seien,AUX,VAFIN,sein,sein
auf,ADP,APPR,auf,auf
der,DET,ART,der,der
