token,tag,tag_STTS,lemma_gold,lemma_pred
Als,CONJ,KOKOM,als,als
nächstes,ADJ,ADJD,nächster,nächster
also,ADV,ADV,also,also
",",PUNCT,"$,",",",","
die,DET,ART,der,der
wissenschaftliche,ADJ,ADJA,wissenschaftlich,wissenschaftlich
Methodik,NOUN,NN,Methodik,Methodik
ein,DET,ART,ein,ein
Grundsatz,NOUN,NN,Grundsatz,Grundsatz
der,DET,ART,der,der
Physik,NOUN,NN,Physik,Physik
",",PUNCT,"$,",",",","
aller,DET,PIAT,aller,all
Wissenschaften,NOUN,NN,Wissenschaft,Wissenschaft
—,PUNCT,$(,-,—
sagt,VERB,VVFIN,sagen,sagen
",",PUNCT,"$,",",",","
daß,SCONJ,KOUS,dass,daß
man,PRON,PIS,man,man
eine,DET,ART,ein,ein
Hypothese,NOUN,NN,Hypothese,Hypothese
nicht,PART,PTKNEG,nicht,nicht
durch,ADP,APPR,durch,durch
Beobachtung,NOUN,NN,Beobachtung,Beobachtung
beweisen,VERB,VVINF,beweisen,beweisen
kann,VERB,VMFIN,können,können
.,PUNCT,$.,.,.
Man,PRON,PIS,man,man
kann,VERB,VMFIN,können,können
sie,PRON,PPER,sie,sie
nur,ADV,ADV,nur,nur
widerlegen,VERB,VVINF,widerlegen,widerlegen
.,PUNCT,$.,.,.
Das,PRON,PDS,der,der
heißt,VERB,VVFIN,heißen,heißen
",",PUNCT,"$,",",",","
daß,SCONJ,KOUS,dass,daß
man,PRON,PIS,man,man
mehr,ADV,ADV,mehr,mehr
und,CONJ,KON,und,und
mehr,ADV,ADV,mehr,mehr
Information,NOUN,NN,Information,Information
um,ADP,APPR,um,um
eine,DET,ART,ein,ein
Hypothese,NOUN,NN,Hypothese,Hypothese
oder,CONJ,KON,oder,oder
einen,DET,ART,ein,ein
Standpunkt,NOUN,NN,Standpunkt,Standpunkt
sammeln,VERB,VVINF,sammeln,sammeln
kann,VERB,VMFIN,können,können
die,PRON,PRELS,der,der
sie,PRON,PPER,sie,sie
bestärkt,VERB,VVFIN,bestärken,bestärken
",",PUNCT,"$,",",",","
aber,CONJ,KON,aber,aber
nicht,PART,PTKNEG,nicht,nicht
endgültig,ADJ,ADJD,endgültig,endgültig
beweist,VERB,VVFIN,beweisen,beweisen
.,PUNCT,$.,.,.
Und,CONJ,KON,und,und
nur,ADV,ADV,nur,nur
eine,DET,ART,ein,ein
einzige,ADJ,ADJA,einziger,einzig
gegenteilige,ADJ,ADJA,gegenteilig,gegenteilig
Information,NOUN,NN,Information,Information
kann,VERB,VMFIN,können,können
die,DET,ART,der,der
ganze,ADJ,ADJA,ganz,ganz
Theorie,NOUN,NN,Theorie,Theorie
kippen,VERB,VVINF,kippen,kippen
.,PUNCT,$.,.,.
Das,PRON,PDS,der,der
klingt,VERB,VVFIN,klingen,klingen
vielleicht,ADV,ADV,vielleicht,vielleicht
zu,PART,PTKA,zu,zu
simpel,ADJ,ADJD,simpel,simpel
",",PUNCT,"$,",",",","
um,SCONJ,KOUI,um,um
Verhalten,NOUN,NN,Verhalten,Verhalten
zu,PART,PTKZU,zu,zu
beeinflussen,VERB,VVINF,beeinflussen,beeinflussen
",",PUNCT,"$,",",",","
aber,CONJ,KON,aber,aber
in,ADP,APPR,in,in
einer,DET,ART,ein,ein
Studie,NOUN,NN,Studie,Studie
fanden,VERB,VVFIN,finden,finden
wir,PRON,PPER,wir,wir
heraus,PART,PTKVZ,heraus,heraus
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
Achtsamkeitstraining,NOUN,NN,Achtsamkeitstraining,Achtsamkeitstraining
Menschen,NOUN,NN,Mensch,Mensch
doppelt,ADJ,ADJD,doppelt,doppelt
so,ADV,ADV,so,so
gut,ADJ,ADJD,gut,gut
hilft,VERB,VVFIN,helfen,helfen
das,DET,ART,der,der
Rauchen,NOUN,NN,Rauchen,Rauchen
aufzugeben,VERB,VVIZU,aufgeben,aufgeben
wie,CONJ,KOKOM,wie,wie
die,DET,ART,der,der
beste,ADJ,ADJA,gut,gut
Standardtherapie,NOUN,NN,Standardtherapie,Standardtherapie
.,PUNCT,$.,.,.
Es,PRON,PPER,es,es
funktioniert,VERB,VVFIN,funktionieren,funktionieren
also,ADV,ADV,also,also
.,PUNCT,$.,.,.
Als,SCONJ,KOUS,als,als
wir,PRON,PPER,wir,wir
die,DET,ART,der,der
Gehirne,NOUN,NN,Gehirn,Gehirn
geübter,ADJ,ADJA,geübt,geübt
Meditierender,NOUN,NN,Meditierende,meditierend
untersuchten,VERB,VVFIN,untersuchen,untersuchen
",",PUNCT,"$,",",",","
erkannten,VERB,VVFIN,erkennen,erkannt
wir,PRON,PPER,wir,wir
",",PUNCT,"$,",",",","
Teile,NOUN,NN,Teil,Teil
der,DET,ART,der,der
neuronalen,ADJ,ADJA,neuronal,neuronal
Netze,NOUN,NN,Netz,Netz
selbstreferenzieller,ADJ,ADJA,selbstreferenziell,selbstreferenziell
Verarbeitung,NOUN,NN,Verarbeitung,Verarbeitung
",",PUNCT,"$,",",",","
Bewusstseinsnetzwerk,NOUN,NN,Bewusstseinsnetzwerk,Bewusstseinsnetzwerk
genannt,VERB,VVPP,nennen,nennen
",",PUNCT,"$,",",",","
spielten,VERB,VVFIN,spielen,spielen
hier,ADV,ADV,hier,hier
eine,DET,ART,ein,ein
Rolle,NOUN,NN,Rolle,Rolle
.,PUNCT,$.,.,.
Eine,DET,ART,ein,ein
aktuelle,ADJ,ADJA,aktuell,aktuell
Hypothese,NOUN,NN,Hypothese,Hypothese
sagt,VERB,VVFIN,sagen,sagen
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
eine,DET,ART,ein,ein
Region,NOUN,NN,Region,Region
dieses,DET,PDAT,dieser,dieser
Netzes,NOUN,NN,Netz,Netz
",",PUNCT,"$,",",",","
namens,ADV,ADV,namens,namens
posteriorer,X,FM,posteriorer,posteriorer
Gyrus,X,FM,Gyrus,Gyru
cinguli,X,FM,cinguli,Cinguli
",",PUNCT,"$,",",",","
nicht,PART,PTKNEG,nicht,nicht
unbedingt,ADV,ADV,unbedingt,unbedingt
durch,ADP,APPR,durch,durch
das,DET,ART,der,der
Verlangen,NOUN,NN,Verlangen,Verlangen
selbst,ADV,ADV,selbst,selbst
aktiviert,VERB,VVPP,aktivieren,aktivieren
wird,AUX,VAFIN,werden,werden
",",PUNCT,"$,",",",","
sondern,CONJ,KON,sondern,sondern
wenn,SCONJ,KOUS,wenn,wenn
wir,PRON,PPER,wir,wir
davon,ADV,PAV,davon,davon
gefangen,VERB,VVPP,fangen,fangen
sind,AUX,VAFIN,sein,sein
",",PUNCT,"$,",",",","
hineingesaugt,VERB,VVPP,hineinsaugen,hineinsaugen
werden,AUX,VAFIN,werden,werden
",",PUNCT,"$,",",",","
und,CONJ,KON,und,und
es,PRON,PPER,es,es
uns,PRON,PPER,wir,uns
hereinlegt,VERB,VVFIN,hereinlegen,hereinlegen
.,PUNCT,$.,.,.
Um,SCONJ,KOUI,um,um
darauf,ADV,PAV,darauf,darauf
zu,PART,PTKZU,zu,zu
achten,VERB,VVINF,achten,achten
",",PUNCT,"$,",",",","
was,PRON,PWS,was,was
am,PART,PTKA,am,an
besten,ADJ,ADJD,gut,gut
für,ADP,APPR,für,für
sie,PRON,PPER,sie,sie
ist,AUX,VAFIN,sein,sein
",",PUNCT,"$,",",",","
oder,CONJ,KON,oder,oder
was,PRON,PWS,was,was
sie,PRON,PPER,sie,sie
für,ADP,APPR,für,für
das,DET,ART,der,der
beste,NOUN,NN,Beste,gut
für,ADP,APPR,für,für
sich,PRON,PRF,sich,sich
halten,VERB,VVFIN,halten,halten
",",PUNCT,"$,",",",","
haben,AUX,VAFIN,haben,haben
Menschen,NOUN,NN,Mensch,Mensch
Werte,NOUN,NN,Wert,Wert
—,PUNCT,$(,-,—
diese,PRON,PDS,dieser,dieser
identifizieren,VERB,VVFIN,identifizieren,identifizieren
",",PUNCT,"$,",",",","
was,PRON,PWS,was,was
sie,PRON,PPER,sie,sie
wollen,VERB,VMFIN,wollen,wollen
und,CONJ,KON,und,und
was,PRON,PWS,was,was
sie,PRON,PPER,sie,sie
nicht,PART,PTKNEG,nicht,nicht
wollen,VERB,VMFIN,wollen,wollen
.,PUNCT,$.,.,.
Und,CONJ,KON,und,und
sie,PRON,PPER,sie,sie
glauben,VERB,VVFIN,glauben,glauben
zu,PART,PTKZU,zu,zu
wissen,VERB,VVINF,wissen,wissen
",",PUNCT,"$,",",",","
was,PRON,PWS,was,was
andere,ADJ,ADJA,anderer,anderer
Leute,NOUN,NN,Leute,Leute
wollen,VERB,VMFIN,wollen,wollen
",",PUNCT,"$,",",",","
und,CONJ,KON,und,und
was,PRON,PWS,was,was
andere,ADJ,ADJA,anderer,anderer
Leute,NOUN,NN,Leute,Leute
nicht,PART,PTKNEG,nicht,nicht
wollen,VERB,VMFIN,wollen,wollen
",",PUNCT,"$,",",",","
wie,ADV,PWAV,wie,wie
viel,DET,PIAT,viel,viel
Macht,NOUN,NN,Macht,Macht
andere,ADJ,ADJA,anderer,anderer
Leute,NOUN,NN,Leute,Leute
haben,AUX,VAFIN,haben,haben
",",PUNCT,"$,",",",","
wie,ADV,PWAV,wie,wie
sehr,ADV,ADV,sehr,sehr
jene,DET,PDAT,jener,jener
Leute,NOUN,NN,Leute,Leute
dem,PRON,PDS,der,der
im,ADP,APPRART,in,in
Weg,NOUN,NN,Weg,Weg
stehen,VERB,VVINF,stehen,stehen
könnten,VERB,VMFIN,können,können
",",PUNCT,"$,",",",","
was,PRON,PWS,was,was
sie,PRON,PPER,sie,sie
selbst,ADV,ADV,selbst,selbst
wollen,VERB,VMFIN,wollen,wollen
.,PUNCT,$.,.,.
Im,ADP,APPRART,in,in
verschneiten,ADJ,ADJA,verschneit,verschneit
Nordamerika,PROPN,NE,Nordamerika,Nordamerika
waren,AUX,VAFIN,sein,sein
unsere,DET,PPOSAT,unser,unser
Rituale,NOUN,NN,Ritual,Ritual
aus,ADP,APPR,aus,aus
dem,DET,ART,der,der
globalen,ADJ,ADJA,global,global
Süden,NOUN,NN,Süden,Süden
.,PUNCT,$.,.,.
Bei,ADP,APPR,bei,bei
meinem,DET,PPOSAT,mein,mein
ersten,ADJ,ADJA,erster,erst
Besuch,NOUN,NN,Besuch,Besuch
in,ADP,APPR,in,in
Delhi,PROPN,NE,Delhi,Delhi
oder,CONJ,KON,oder,oder
in,ADP,APPR,in,in
Süditalien,PROPN,NE,Süditalien,Süditalie
war,AUX,VAFIN,sein,sein
ich,PRON,PPER,ich,ich
schockiert,ADJ,ADJD,schockiert,schockieren
",",PUNCT,"$,",",",","
wie,ADV,PWAV,wie,wie
sehr,ADV,ADV,sehr,sehr
ich,PRON,PPER,ich,ich
mich,PRON,PRF,ich,mich
zu,ADP,APPR,zu,zu
Hause,NOUN,NN,Haus,Haus
fühlte,VERB,VVFIN,fühlen,fühlen
.,PUNCT,$.,.,.
Die,DET,ART,der,der
Rituale,NOUN,NN,Ritual,Ritual
waren,AUX,VAFIN,sein,sein
vertraut,ADJ,ADJD,vertraut,vertrauen
.,PUNCT,$.,.,.
"""",PUNCT,$(,"""",""""
R,X,XY,R,R
"""",PUNCT,$(,"""",""""
Nummer,NOUN,NN,Nummer,Nummer
eins,NUM,CARD,eins,einer
:,PUNCT,$.,:,:
Rituale,NOUN,NN,Ritual,Ritual
.,PUNCT,$.,.,.
Denken,VERB,VVIMP,denken,Denken
Sie,PRON,PPER,Sie,sie
jetzt,ADV,ADV,jetzt,jetzt
an,ADP,APPR,an,an
Beziehungen,NOUN,NN,Beziehung,Beziehung
...,PUNCT,$(,...,...
Menschen,NOUN,NN,Mensch,Mensch
",",PUNCT,"$,",",",","
die,PRON,PRELS,der,der
Ihren,DET,PPOSAT,Ihr,ihr
Alltag,NOUN,NN,Alltag,Alltag
bestimmen,VERB,VVFIN,bestimmen,bestimmen
.,PUNCT,$.,.,.
Mit,ADP,APPR,mit,mit
wem,PRON,PWS,wem,wem
sprechen,VERB,VVFIN,sprechen,sprechen
Sie,PRON,PPER,Sie,sie
mindestens,ADV,ADV,mindestens,mindestens
einmal,ADV,ADV,einmal,einmal
pro,ADP,APPR,pro,pro
Woche,NOUN,NN,Woche,Woche
",",PUNCT,"$,",",",","
entweder,CONJ,KON,entweder,entweder
persönlich,ADJ,ADJD,persönlich,persönlich
oder,CONJ,KON,oder,oder
über,ADP,APPR,über,über
FaceTime,PROPN,NE,FaceTime,Facetim
?,PUNCT,$.,?,?
Schätzen,VERB,VVIMP,schätzen,Schatz
Sie,PRON,PPER,Sie,sie
es,PRON,PPER,es,es
realistisch,ADJ,ADJD,realistisch,realistisch
ein,PART,PTKVZ,ein,ein
;,PUNCT,$.,;,;
ich,PRON,PPER,ich,ich
spreche,VERB,VVFIN,sprechen,sprechen
nicht,PART,PTKNEG,nicht,nicht
von,ADP,APPR,von,von
Facebook-Freunden,NOUN,NN,Facebook-Freund,Facebook-freunde
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,ich
spreche,VERB,VVFIN,sprechen,sprechen
von,ADP,APPR,von,von
Leuten,NOUN,NN,Leute,Leute
",",PUNCT,"$,",",",","
die,PRON,PRELS,der,der
Ihr,DET,PPOSAT,Ihr,ihr
wöchentliches,ADJ,ADJA,wöchentlich,wöchentlich
emotionales,ADJ,ADJA,emotional,emotional
Erleben,NOUN,NN,Erleben,Erleben
formen,VERB,VVFIN,formen,formen
.,PUNCT,$.,.,.
Der,DET,ART,der,der
Bildungsminister,NOUN,NN,Bildungsminister,Bildungsminister
im,ADP,APPRART,in,in
Süden,NOUN,NN,Süden,Süden
von,ADP,APPR,von,von
London,PROPN,NE,London,London
bezeichnete,VERB,VVFIN,bezeichnen,bezeichnen
sich,PRON,PRF,sich,sich
selber,ADV,ADV,selber,selber
als,CONJ,KOKOM,als,als
«,PUNCT,$(,«,«
grossen,ADJ,ADJA,groß,groß
Fan,NOUN,NN,Fan,Fan
»,PUNCT,$(,»,»
.,PUNCT,$.,.,.
Und,CONJ,KON,und,und
die,DET,ART,der,der
Geschäftsorganisationen,NOUN,NN,Geschäftsorganisation,Geschäftsorganisation
dachten,VERB,VVFIN,denken,denken
",",PUNCT,"$,",",",","
wir,PRON,PPER,wir,wir
seien,AUX,VAFIN,sein,sein
auf,ADP,APPR,auf,auf
der,DET,ART,der,der
richtigen,ADJ,ADJA,richtig,richtig
Spur,NOUN,NN,Spur,Spur
",",PUNCT,"$,",",",","
indem,SCONJ,KOUS,indem,indem
wir,PRON,PPER,wir,wir
einen,DET,ART,ein,ein
Weg,NOUN,NN,Weg,Weg
gefunden,VERB,VVPP,finden,finden
hatten,AUX,VAFIN,haben,haben
",",PUNCT,"$,",",",","
die,DET,ART,der,der
Kinder,NOUN,NN,Kind,Kind
viel,ADV,ADV,viel,viel
besser,ADJ,ADJD,gut,gut
auf,ADP,APPR,auf,auf
das,DET,ART,der,der
reale,ADJ,ADJA,real,real
Arbeitsleben,NOUN,NN,Arbeitsleben,Arbeitsleben
vorzubereiten,VERB,VVIZU,vorbereiten,vorbereiten
.,PUNCT,$.,.,.
Tatsächlich,ADV,ADV,tatsächlich,tatsächlich
ist,AUX,VAFIN,sein,sein
der,DET,ART,der,der
Vorsitzender,NOUN,NN,Vorsitzende,Vorsitzender
der,DET,ART,der,der
Handelskammer,NOUN,NN,Handelskammer,Handelskammer
heute,ADV,ADV,heute,heute
der,DET,ART,der,der
Vorstand,NOUN,NN,Vorstand,Vorstand
der,DET,ART,der,der
Stiftung,NOUN,NN,Stiftung,Stiftung
für,ADP,APPR,für,für
Studio-Schulen,NOUN,NN,Studio-Schule,Studio-schule
und,CONJ,KON,und,und
hilft,VERB,VVFIN,helfen,helfen
tatkräftig,ADJ,ADJD,tatkräftig,tatkräftig
mit,PART,PTKVZ,mit,mit
",",PUNCT,"$,",",",","
nicht,PART,PTKNEG,nicht,nicht
nur,ADV,ADV,nur,nur
mit,ADP,APPR,mit,mit
grossen,ADJ,ADJA,groß,groß
Firmen,NOUN,NN,Firma,Firma
sondern,CONJ,KON,sondern,sondern
Kleinunternehmen,NOUN,NN,Kleinunternehmen,Kleinunternehmen
im,ADP,APPRART,in,in
ganzen,ADJ,ADJA,ganz,ganz
Land,NOUN,NN,Land,Land
.,PUNCT,$.,.,.
Wir,PRON,PPER,wir,wir
begannen,VERB,VVFIN,beginnen,beginnen
mit,ADP,APPR,mit,mit
zwei,NUM,CARD,zwei,zwei
Schulen,NOUN,NN,Schule,Schule
.,PUNCT,$.,.,.
Diese,DET,PDAT,dieser,dieser
Zahl,NOUN,NN,Zahl,Zahl
ist,AUX,VAFIN,sein,sein
dieses,DET,PDAT,dieser,dieser
Jahr,NOUN,NN,Jahr,Jahr
auf,ADP,APPR,auf,auf
etwa,ADV,ADV,etwa,etwa
10,NUM,CARD,10,10
angewachsen,VERB,VVPP,anwachsen,anwachsen
.,PUNCT,$.,.,.
Und,CONJ,KON,und,und
das,PRON,PDS,der,der
sollte,VERB,VMFIN,sollen,sollen
alles,PRON,PIS,alle,alle
verändern,VERB,VVINF,verändern,verändern
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,ich
wurde,AUX,VAFIN,werden,werden
das,DET,ART,der,der
genaue,ADJ,ADJA,genau,genau
Gegenteil,NOUN,NN,Gegenteil,Gegenteil
von,ADP,APPR,von,von
dem,PRON,PDS,der,der
",",PUNCT,"$,",",",","
was,PRON,PWS,was,was
ich,PRON,PPER,ich,ich
gedacht,VERB,VVPP,denken,denken
hatte,AUX,VAFIN,haben,haben
zu,PART,PTKZU,zu,zu
sein,AUX,VAINF,sein,sein
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,ich
blieb,VERB,VVFIN,bleiben,bleiben
zuhause,ADV,ADV,zuhause,zuhause
",",PUNCT,"$,",",",","
anstatt,SCONJ,KOUI,anstatt,anstatt
raus,ADV,ADV,raus,raus
zu,PART,PTKZU,zu,zu
gehen,VERB,VVINF,gehen,gehen
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,ich
hörte,VERB,VVFIN,hören,hören
auf,PART,PTKVZ,auf,auf
",",PUNCT,"$,",",",","
mich,PRON,PRF,ich,mich
in,ADP,APPR,in,in
Vereinen,NOUN,NN,Verein,Verein
und,CONJ,KON,und,und
Gruppen,NOUN,NN,Gruppe,Gruppe
zu,PART,PTKZU,zu,zu
engagieren,VERB,VVINF,engagieren,engagieren
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,ich
wollte,VERB,VMFIN,wollen,wollen
nicht,PART,PTKNEG,nicht,nicht
mehr,ADV,ADV,mehr,mehr
auffallen,VERB,VVINF,auffallen,auffallen
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,ich
sagte,VERB,VVFIN,sagen,sagen
mir,PRON,PRF,ich,mir
",",PUNCT,"$,",",",","
ich,PRON,PPER,ich,ich
würde,AUX,VAFIN,werden,werden
älter,ADJ,ADJD,alt,alt
und,CONJ,KON,und,und
erwachsener,ADJ,ADJD,erwachsen,erwachsen
werden,AUX,VAINF,werden,werden
",",PUNCT,"$,",",",","
und,CONJ,KON,und,und
nicht,PART,PTKNEG,nicht,nicht
plötzlich,ADV,ADV,plötzlich,plötzlich
nach,ADP,APPR,nach,nach
Bestätigung,NOUN,NN,Bestätigung,Bestätigung
suchen,VERB,VVINF,suchen,suchen
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,ich
dachte,VERB,VVFIN,denken,denken
nämlich,ADV,ADV,nämlich,nämlich
immer,ADV,ADV,immer,immer
",",PUNCT,"$,",",",","
das,PRON,PDS,der,der
bräuchte,VERB,VVFIN,brauchen,brauchen
ich,PRON,PPER,ich,ich
nicht,PART,PTKNEG,nicht,nicht
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,ich
war,AUX,VAFIN,sein,sein
ja,ADV,ADV,ja,ja
immer,ADV,ADV,immer,immer
etwas,ADV,ADV,etwas,etwas
unkonventionell,ADJ,ADJD,unkonventionell,unkonventionell
.,PUNCT,$.,.,.
Aber,CONJ,KON,aber,aber
das,PRON,PDS,der,der
müssen,VERB,VMFIN,müssen,müssen
sie,PRON,PPER,sie,sie
auch,ADV,ADV,auch,auch
nicht,PART,PTKNEG,nicht,nicht
.,PUNCT,$.,.,.
Ich,PRON,PPER,ich,ich
erkläre,VERB,VVFIN,erklären,erklären
Ihnen,PRON,PPER,Sie,ihnen
",",PUNCT,"$,",",",","
warum,ADV,PWAV,warum,warum
.,PUNCT,$.,.,.
Stellen,VERB,VVIMP,stellen,Stelle
Sie,PRON,PPER,Sie,sie
sich,PRON,PRF,sich,sich
vor,PART,PTKVZ,vor,vor
:,PUNCT,$.,:,:
Eine,DET,ART,ein,ein
Bevölkerung,NOUN,NN,Bevölkerung,Bevölkerung
hat,AUX,VAFIN,haben,haben
drei,NUM,CARD,drei,drei
verschiedene,ADJ,ADJA,verschieden,verschieden
Präferenzen,NOUN,NN,Präferenz,Präferenz
:,PUNCT,$.,:,:
Grün,NOUN,NN,Grün,Grün
",",PUNCT,"$,",",",","
Orange,NOUN,NN,Orange,Orange
und,CONJ,KON,und,und
Rot,NOUN,NN,Rot,rot
.,PUNCT,$.,.,.
Aus,ADP,APPR,aus,aus
deren,DET,PDAT,der,der
Perspekive,NOUN,NN,Perspektive,Perspekiv
sagen,VERB,VVFIN,sagen,sagen
diese,DET,PDAT,dieser,dieser
Vorlieben,NOUN,NN,Vorliebe,Vorliebe
nichts,PRON,PIS,nichts,nichts
über,ADP,APPR,über,über
Gesundheit,NOUN,NN,Gesundheit,Gesundheit
aus,PART,PTKVZ,aus,aus
;,PUNCT,$.,;,;
es,PRON,PPER,es,es
gefällt,VERB,VVFIN,gefallen,fällen
eben,ADV,ADV,eben,eben
",",PUNCT,"$,",",",","
was,PRON,PWS,was,was
gefällt,VERB,VVFIN,gefallen,fällen
.,PUNCT,$.,.,.
Aber,ADV,ADV,aber,aber
wenn,SCONJ,KOUS,wenn,wenn
es,PRON,PPER,es,es
ebenso,ADV,ADV,ebenso,ebenso
der,DET,ART,der,der
Fall,NOUN,NN,Fall,Fall
wäre,AUX,VAFIN,sein,sein
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
diese,DET,PDAT,dieser,dieser
Vorlieben,NOUN,NN,Vorliebe,Vorliebe
einhergehen,VERB,VVFIN,einhergehen,einhergehen
mit,ADP,APPR,mit,mit
verschiedenen,ADJ,ADJA,verschieden,verschieden
Wahrscheinlichkeiten,NOUN,NN,Wahrscheinlichkeit,Wahrscheinlichkeit
",",PUNCT,"$,",",",","
Nachkommen,NOUN,NN,Nachkomme,Nachkomme
zu,PART,PTKZU,zu,zu
zeugen,VERB,VVINF,zeugen,zeugen
—,PUNCT,$(,-,—
sagen,VERB,VVFIN,sagen,sagen
wir,PRON,PPER,wir,wir
in,ADP,APPR,in,in
einem,DET,ART,ein,ein
Verhältnis,NOUN,NN,Verhältnis,Verhältnis
3:2:1,NUM,CARD,3:2:1,3:2:1
—,PUNCT,$(,-,—
dann,ADV,ADV,dann,dann
wäre,AUX,VAFIN,sein,sein
die,DET,ART,der,der
erste,ADJ,ADJA,erster,erst
Generation,NOUN,NN,Generation,Generation
3,NUM,CARD,3,3
x,X,XY,x,x
Grün,NOUN,NN,Grün,Grün
zu,ADP,APPR,zu,zu
2,NUM,CARD,2,2
x,X,XY,x,x
Orange,NOUN,NN,Orange,Orange
zu,ADP,APPR,zu,zu
1,NUM,CARD,1,1
x,X,XY,x,x
Rot,NOUN,NN,Rot,rot
.,PUNCT,$.,.,.
Und,CONJ,KON,und,und
zu,ADP,APPR,zu,zu
einem,DET,ART,ein,ein
gewissen,ADJ,ADJA,gewiss,gewiß
Grad,NOUN,NN,Grad,Grad
hoffen,VERB,VVFIN,hoffen,hoffen
wir,PRON,PPER,wir,wir
auch,ADV,ADV,auch,auch
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
uns,PRON,PPER,wir,uns
die,DET,ART,der,der
