token,tag,tag_STTS,lemma_gold,lemma_pred
Als,CONJ,KOKOM,als,als
nächstes,ADJ,ADJD,nächster,
also,ADV,ADV,also,also
",",PUNCT,"$,",",",","
die,DET,ART,der,
wissenschaftliche,ADJ,ADJA,wissenschaftlich,wissenschaftlich
Methodik,NOUN,NN,Methodik,Methodik
ein,DET,ART,ein,ein
Grundsatz,NOUN,NN,Grundsatz,Grundsatz
der,DET,ART,der,
Physik,NOUN,NN,Physik,Physik
",",PUNCT,"$,",",",","
aller,DET,PIAT,aller,
Wissenschaften,NOUN,NN,Wissenschaft,Wissenschaft
—,PUNCT,$(,-,
sagt,VERB,VVFIN,sagen,sagen
",",PUNCT,"$,",",",","
daß,SCONJ,KOUS,dass,
man,PRON,PIS,man,man
eine,DET,ART,ein,ein
Hypothese,NOUN,NN,Hypothese,Hypothese
nicht,PART,PTKNEG,nicht,nicht
durch,ADP,APPR,durch,durch
Beobachtung,NOUN,NN,Beobachtung,Beobachtung
beweisen,VERB,VVINF,beweisen,beweisen
kann,VERB,VMFIN,können,können
.,PUNCT,$.,.,.
Man,PRON,PIS,man,man
kann,VERB,VMFIN,können,können
sie,PRON,PPER,sie,sie
nur,ADV,ADV,nur,nur
widerlegen,VERB,VVINF,widerlegen,widerlegen
.,PUNCT,$.,.,.
Das,PRON,PDS,der,
heißt,VERB,VVFIN,heißen,heißen
",",PUNCT,"$,",",",","
daß,SCONJ,KOUS,dass,
man,PRON,PIS,man,man
mehr,ADV,ADV,mehr,mehr
und,CONJ,KON,und,und
mehr,ADV,ADV,mehr,mehr
Information,NOUN,NN,Information,Information
um,ADP,APPR,um,um
eine,DET,ART,ein,ein
Hypothese,NOUN,NN,Hypothese,Hypothese
oder,CONJ,KON,oder,oder
einen,DET,ART,ein,ein
Standpunkt,NOUN,NN,Standpunkt,Standpunkt
sammeln,VERB,VVINF,sammeln,sammeln
kann,VERB,VMFIN,können,können
die,PRON,PRELS,der,
sie,PRON,PPER,sie,sie
bestärkt,VERB,VVFIN,bestärken,bestärken
",",PUNCT,"$,",",",","
aber,CONJ,KON,aber,aber
nicht,PART,PTKNEG,nicht,nicht
endgültig,ADJ,ADJD,endgültig,endgültig
beweist,VERB,VVFIN,beweisen,beweisen
.,PUNCT,$.,.,.
Und,CONJ,KON,und,und
nur,ADV,ADV,nur,nur
eine,DET,ART,ein,ein
einzige,ADJ,ADJA,einziger,
gegenteilige,ADJ,ADJA,gegenteilig,gegenteilig
Information,NOUN,NN,Information,Information
kann,VERB,VMFIN,können,können
die,DET,ART,der,
ganze,ADJ,ADJA,ganz,ganz
Theorie,NOUN,NN,Theorie,Theorie
kippen,VERB,VVINF,kippen,kippen
.,PUNCT,$.,.,.
Das,PRON,PDS,der,
klingt,VERB,VVFIN,klingen,klingen
vielleicht,ADV,ADV,vielleicht,vielleicht
zu,PART,PTKA,zu,zu
simpel,ADJ,ADJD,simpel,simpel
",",PUNCT,"$,",",",","
um,SCONJ,KOUI,um,um
Verhalten,NOUN,NN,Verhalten,Verhalten
zu,PART,PTKZU,zu,zu
beeinflussen,VERB,VVINF,beeinflussen,beeinflussen
",",PUNCT,"$,",",",","
aber,CONJ,KON,aber,aber
in,ADP,APPR,in,in
einer,DET,ART,ein,ein
Studie,NOUN,NN,Studie,Studie
fanden,VERB,VVFIN,finden,finden
wir,PRON,PPER,wir,
heraus,PART,PTKVZ,heraus,heraus
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
Achtsamkeitstraining,NOUN,NN,Achtsamkeitstraining,Achtsamkeitstraining
Menschen,NOUN,NN,Mensch,Mensch
doppelt,ADJ,ADJD,doppelt,doppelt
so,ADV,ADV,so,so
gut,ADJ,ADJD,gut,gut
hilft,VERB,VVFIN,helfen,helfen
das,DET,ART,der,
Rauchen,NOUN,NN,Rauchen,Rauchen
aufzugeben,VERB,VVIZU,aufgeben,aufgeben
wie,CONJ,KOKOM,wie,wie
die,DET,ART,der,
beste,ADJ,ADJA,gut,gut
Standardtherapie,NOUN,NN,Standardtherapie,Standardtherapie
.,PUNCT,$.,.,.
Es,PRON,PPER,es,
funktioniert,VERB,VVFIN,funktionieren,funktionieren
also,ADV,ADV,also,also
.,PUNCT,$.,.,.
Als,SCONJ,KOUS,als,als
wir,PRON,PPER,wir,
die,DET,ART,der,
Gehirne,NOUN,NN,Gehirn,Gehirn
geübter,ADJ,ADJA,geübt,geübt
Meditierender,NOUN,NN,Meditierende,Meditierende
untersuchten,VERB,VVFIN,untersuchen,untersuchen
",",PUNCT,"$,",",",","
erkannten,VERB,VVFIN,erkennen,erkennen
wir,PRON,PPER,wir,
",",PUNCT,"$,",",",","
Teile,NOUN,NN,Teil,Teil
der,DET,ART,der,
neuronalen,ADJ,ADJA,neuronal,
Netze,NOUN,NN,Netz,Netz
selbstreferenzieller,ADJ,ADJA,selbstreferenziell,
Verarbeitung,NOUN,NN,Verarbeitung,Verarbeitung
",",PUNCT,"$,",",",","
Bewusstseinsnetzwerk,NOUN,NN,Bewusstseinsnetzwerk,Bewusstseinsnetzwerk
genannt,VERB,VVPP,nennen,nennen
",",PUNCT,"$,",",",","
spielten,VERB,VVFIN,spielen,spielen
hier,ADV,ADV,hier,hier
eine,DET,ART,ein,ein
Rolle,NOUN,NN,Rolle,Rolle
.,PUNCT,$.,.,.
Eine,DET,ART,ein,ein
aktuelle,ADJ,ADJA,aktuell,aktuell
Hypothese,NOUN,NN,Hypothese,Hypothese
sagt,VERB,VVFIN,sagen,sagen
",",PUNCT,"$,",",",","
dass,SCONJ,KOUS,dass,dass
eine,DET,ART,ein,ein
Region,NOUN,NN,Region,Region
dieses,DET,PDAT,dieser,
Netzes,NOUN,NN,Netz,Netz
",",PUNCT,"$,",",",","
namens,ADV,ADV,namens,namens
posteriorer,X,FM,posteriorer,posteriorer
Gyrus,X,FM,Gyrus,Gyrus
cinguli,X,FM,cinguli,cinguli
",",PUNCT,"$,",",",","
nicht,PART,PTKNEG,nicht,nicht
unbedingt,ADV,ADV,unbedingt,unbedingt
durch,ADP,APPR,durch,durch
das,DET,ART,der,
Verlangen,NOUN,NN,Verlangen,Verlangen
selbst,ADV,ADV,selbst,selbst
aktiviert,VERB,VVPP,aktivieren,aktivieren
wird,AUX,VAFIN,werden,werden
",",PUNCT,"$,",",",","
sondern,CONJ,KON,sondern,sondern
wenn,SCONJ,KOUS,wenn,wenn
wir,PRON,PPER,wir,
davon,ADV,PAV,davon,davon
gefangen,VERB,VVPP,fangen,fangen
sind,AUX,VAFIN,sein,sein
",",PUNCT,"$,",",",","
hineingesaugt,VERB,VVPP,hineinsaugen,hineinsaugen
werden,AUX,VAFIN,werden,werden
",",PUNCT,"$,",",",","
und,CONJ,KON,und,und
es,PRON,PPER,es,
uns,PRON,PPER,wir,
hereinlegt,VERB,VVFIN,hereinlegen,hereinlegen
.,PUNCT,$.,.,.
Um,SCONJ,KOUI,um,um
darauf,ADV,PAV,darauf,darauf
zu,PART,PTKZU,zu,zu
achten,VERB,VVINF,achten,achten
",",PUNCT,"$,",",",","
was,PRON,PWS,was,was
am,PART,PTKA,am,
besten,ADJ,ADJD,gut,gut
für,ADP,APPR,für,für
sie,PRON,PPER,sie,sie
ist,AUX,VAFIN,sein,sein
",",PUNCT,"$,",",",","
oder,CONJ,KON,oder,oder
was,PRON,PWS,was,was
sie,PRON,PPER,sie,sie
für,ADP,APPR,für,für
das,DET,ART,der,
beste,NOUN,NN,Beste,
für,ADP,APPR,für,für
sich,PRON,PRF,sich,
halten,VERB,VVFIN,halten,halten
",",PUNCT,"$,",",",","
haben,AUX,VAFIN,haben,haben
Menschen,NOUN,NN,Mensch,Mensch
Werte,NOUN,NN,Wert,Wert
—,PUNCT,$(,-,
diese,PRON,PDS,dieser,
identifizieren,VERB,VVFIN,identifizieren,identifizieren
",",PUNCT,"$,",",",","
was,PRON,PWS,was,was
sie,PRON,PPER,sie,sie
wollen,VERB,VMFIN,wollen,wollen
und,CONJ,KON,und,und
was,PRON,PWS,was,was
sie,PRON,PPER,sie,sie
nicht,PART,PTKNEG,nicht,nicht
wollen,VERB,VMFIN,wollen,wollen
.,PUNCT,$.,.,.
Und,CONJ,KON,und,und
sie,PRON,PPER,sie,sie
glauben,VERB,VVFIN,glauben,glauben
zu,PART,PTKZU,zu,zu
wissen,VERB,VVINF,wissen,wissen
",",PUNCT,"$,",",",","
was,PRON,PWS,was,was
andere,ADJ,ADJA,anderer,
Leute,NOUN,NN,Leute,Leute
wollen,VERB,VMFIN,wollen,wollen
",",PUNCT,"$,",",",","
und,CONJ,KON,und,und
was,PRON,PWS,was,was
andere,ADJ,ADJA,anderer,
Leute,NOUN,NN,Leute,Leute
nicht,PART,PTKNEG,nicht,nicht
wollen,VERB,VMFIN,wollen,wollen
",",PUNCT,"$,",",",","
wie,ADV,PWAV,wie,wie
viel,DET,PIAT,viel,viel
Macht,NOUN,NN,Macht,Macht
andere,ADJ,ADJA,anderer,
Leute,NOUN,NN,Leute,Leute
haben,AUX,VAFIN,haben,haben
",",PUNCT,"$,",",",","
wie,ADV,PWAV,wie,wie
sehr,ADV,ADV,sehr,sehr
jene,DET,PDAT,jener,
Leute,NOUN,NN,Leute,Leute
dem,PRON,PDS,der,
im,ADP,APPRART,in,in
Weg,NOUN,NN,Weg,Weg
stehen,VERB,VVINF,stehen,stehen
könnten,VERB,VMFIN,können,können
",",PUNCT,"$,",",",","
was,PRON,PWS,was,was
sie,PRON,PPER,sie,sie
selbst,ADV,ADV,selbst,selbst
wollen,VERB,VMFIN,wollen,wollen
.,PUNCT,$.,.,.
Im,ADP,APPRART,in,in
verschneiten,ADJ,ADJA,verschneit,verschneit
Nordamerika,PROPN,NE,Nordamerika,Nordamerika
waren,AUX,VAFIN,sein,sein
unsere,DET,PPOSAT,unser,
Rituale,NOUN,NN,Ritual,Ritual
aus,ADP,APPR,aus,aus
dem,DET,ART,der,
globalen,ADJ,ADJA,global,global
Süden,NOUN,NN,Süden,Süden
.,PUNCT,$.,.,.
Bei,ADP,APPR,bei,bei
meinem,DET,PPOSAT,mein,
ersten,ADJ,ADJA,erster,
Besuch,NOUN,NN,Besuch,Besuch
in,ADP,APPR,in,in
Delhi,PROPN,NE,Delhi,Delhi
oder,CONJ,KON,oder,oder
in,ADP,APPR,in,in
Süditalien,PROPN,NE,Süditalien,Süditalien
war,AUX,VAFIN,sein,sein
ich,PRON,PPER,ich,
schockiert,ADJ,ADJD,schockiert,schockiert
",",PUNCT,"$,",",",","
wie,ADV,PWAV,wie,wie
sehr,ADV,ADV,sehr,sehr
ich,PRON,PPER,ich,
mich,PRON,PRF,ich,
zu,ADP,APPR,zu,zu
Hause,NOUN,NN,Haus,Haus
fühlte,VERB,VVFIN,fühlen,fühlen
.,PUNCT,$.,.,.
Die,DET,ART,der,
Rituale,NOUN,NN,Ritual,Ritual
waren,AUX,VAFIN,sein,sein
vertraut,ADJ,ADJD,vertraut,vertraut
.,PUNCT,$.,.,.
"""",PUNCT,$(,"""",""""
R,X,XY,R,R
"""",PUNCT,$(,"""",""""
Nummer,NOUN,NN,Nummer,Nummer
eins,NUM,CARD,eins,eins
:,PUNCT,$.,:,
Rituale,NOUN,NN,Ritual,Ritual
.,PUNCT,$.,.,.
Denken,VERB,VVIMP,denken,denken
Sie,PRON,PPER,Sie,Sie
jetzt,ADV,ADV,jetzt,jetzt
an,ADP,APPR,an,an
Beziehungen,NOUN,NN,Beziehung,Beziehung
...,PUNCT,$(,...,...
Menschen,NOUN,NN,Mensch,Mensch
",",PUNCT,"$,",",",","
die,PRON,PRELS,der,
Ihren,DET,PPOSAT,Ihr,
Alltag,NOUN,NN,Alltag,Alltag
bestimmen,VERB,VVFIN,bestimmen,bestimmen
.,PUNCT,$.,.,.
Mit,ADP,APPR,mit,mit
wem,PRON,PWS,wem,
sprechen,VERB,VVFIN,sprechen,sprechen
Sie,PRON,PPER,Sie,Sie
