token,tag,tag_STTS,lemma_gold,lemma_pred
Der,DET,ART,der,der
SC,PROPN,NE,SC,sc
Lituania,PROPN,NE,Lituania,Lituania
Tilsit,PROPN,NE,Tilsit,Tilsit
war,AUX,VAFIN,sein,sein
ein,DET,ART,ein,ein
deutscher,ADJ,ADJA,deutsch,deutsch
Sportverein,NOUN,NN,Sportverein,Sportverein
der,DET,ART,der,der
ostpreußischen,ADJ,ADJA,ostpreußisch,ostpreußisch
Stadt,NOUN,NN,Stadt,Stadt
Tilsit,PROPN,NE,Tilsit,Tilsit
",",PUNCT,"$,",",",","
heute,ADV,ADV,heute,heute
Sowetsk,PROPN,NE,Sowetsk,Sowetsk
.,PUNCT,$.,.,.
Der,DET,ART,der,der
1907,NUM,CARD,1907,1907
gegründete,ADJ,ADJA,gegründet,gründen
Verein,NOUN,NN,Verein,Verein
wurde,AUX,VAFIN,werden,werden
1911,NUM,CARD,1911,1911
Verbandsmeister,NOUN,NN,Verbandsmeister,Verbandsmeister
des,DET,ART,der,des
Baltischen,ADJ,ADJA,baltisch,Baltische
Rasensport-Verbandes,NOUN,NN,Rasensport-Verband,Rasensport-Verband
(,PUNCT,$(,(,(
BRV,PROPN,NE,BRV,BRV
),PUNCT,$(,),)
und,CONJ,KON,und,und
durfte,VERB,VMFIN,dürfen,dürfen
somit,ADV,ADV,somit,somit
an,ADP,APPR,an,an
der,DET,ART,der,der
Endrunde,NOUN,NN,Endrunde,Endrunde
um,ADP,APPR,um,um
die,DET,ART,der,die
deutsche,ADJ,ADJA,deutsch,deutscher
Fußballmeisterschaft,NOUN,NN,Fußballmeisterschaft,Fußballmeisterschaft
teilnehmen,VERB,VVINF,teilnehmen,teilnehmen
.,PUNCT,$.,.,.
1912,NUM,CARD,1912,1912
und,CONJ,KON,und,und
1913,NUM,CARD,1913,1913
erreichte,VERB,VVFIN,erreichen,erreichen
der,DET,ART,der,der
Verein,NOUN,NN,Verein,Verein
noch,ADV,ADV,noch,noch
die,DET,ART,der,die
Baltische,ADJ,ADJA,Baltisch,Baltisch
Endrunde,NOUN,NN,Endrunde,Endrunde
",",PUNCT,"$,",",",","
unterlag,VERB,VVFIN,unterliegen,unterliegen
aber,ADV,ADV,aber,aber
in,ADP,APPR,in,in
beiden,DET,PIAT,beide,beide
Jahren,NOUN,NN,Jahr,Jahr
