token,tag,tag_STTS,lemma_gold,lemma_pred
Der,DET,ART,der,der
SC,PROPN,NE,SC,SC
Lituania,PROPN,NE,Lituania,Lituania
Tilsit,PROPN,NE,Tilsit,Tilsit
war,AUX,VAFIN,sein,sein
ein,DET,ART,ein,einen
deutscher,ADJ,ADJA,deutsch,deutsch
Sportverein,NOUN,NN,Sportverein,Sportverein
der,DET,ART,der,der
ostpreußischen,ADJ,ADJA,ostpreußisch,ostpreußischen
Stadt,NOUN,NN,Stadt,Stadt
Tilsit,PROPN,NE,Tilsit,Tilsit
",",PUNCT,"$,",",",","
heute,ADV,ADV,heute,heute
Sowetsk,PROPN,NE,Sowetsk,Sowetsk
.,PUNCT,$.,.,.
Der,DET,ART,der,der
1907,NUM,CARD,1907,1907
gegründete,ADJ,ADJA,gegründet,gegründet
Verein,NOUN,NN,Verein,Verein
wurde,AUX,VAFIN,werden,werden
1911,NUM,CARD,1911,1911
Verbandsmeister,NOUN,NN,Verbandsmeister,Verbandsmeister
des,DET,ART,der,der
Baltischen,ADJ,ADJA,baltisch,Baltische
Rasensport-Verbandes,NOUN,NN,Rasensport-Verband,Rasensport-Verbandes
(,PUNCT,$(,(,(
BRV,PROPN,NE,BRV,BRV
),PUNCT,$(,),)
und,CONJ,KON,und,und
durfte,VERB,VMFIN,dürfen,dürfen
somit,ADV,ADV,somit,somit
an,ADP,APPR,an,an
der,DET,ART,der,der
Endrunde,NOUN,NN,Endrunde,Endrunde
um,ADP,APPR,um,um
die,DET,ART,der,der
deutsche,ADJ,ADJA,deutsch,deutsch
Fußballmeisterschaft,NOUN,NN,Fußballmeisterschaft,Fußballmeisterschaft
teilnehmen,VERB,VVINF,teilnehmen,teilnehmen
.,PUNCT,$.,.,.
Wegen,ADP,APPR,wegen,Weg
zu,PART,PTKA,zu,zu
hoher,ADJ,ADJA,hoch,hoch
Reisekosten,NOUN,NN,Reisekosten,Reisekosten
verzichtete,VERB,VVFIN,verzichten,verzichten
Lituania,PROPN,NE,Lituania,Lituania
Tilsit,PROPN,NE,Tilsit,Tilsit
jedoch,ADV,ADV,jedoch,jedoch
auf,ADP,APPR,auf,auf
das,DET,ART,der,der
Startrecht,NOUN,NN,Startrecht,Startrecht
",",PUNCT,"$,",",",","
so,ADV,ADV,so,so
dass,SCONJ,KOUS,dass,dass
die,DET,ART,der,der
