token,tag,tag_STTS,lemma_gold,lemma_pred
Die,DET,ART,der,
Zigeuner,NOUN,NN,Zigeuner,Zigeuner
waren,AUX,VAFIN,sein,
damals,ADV,ADV,damals,damals
in,ADP,APPR,in,
der,DET,ART,der,
Verfolgung,NOUN,NN,Verfolgung,Verfolgung
",",PUNCT,"$,",--,
welche,PRON,PRELS,welche,
die,DET,ART,der,
vertriebenen,ADJ,ADJA,vertrieben,vertrieben
Juden,NOUN,NN,Jude,Jude
ihnen,PRON,PPER,ihnen,
zuzogen,VERB,VVFIN,zuziehen,zuziehen
",",PUNCT,"$,",--,
die,PRON,PRELS,der,
sich,PRON,PRF,sich,
für,ADP,APPR,für,
Zigeuner,NOUN,NN,Zigeuner,Zigeuner
ausgaben,VERB,VVFIN,ausgeben,ausgeben
",",PUNCT,"$,",--,
um,SCONJ,KOUI,um,
geduldet,VERB,VVPP,dulden,dulden
zu,PART,PTKZU,zu,
werden,AUX,VAFIN,werden,
",",PUNCT,"$,",--,
schon,ADV,ADV,schon,schon
sündlich,ADV,ADV,sündlich,sündlich
verwildert,ADJ,ADJD,verwildert,verwildert
;,PUNCT,$.,--,
oft,ADV,ADV,oft,oft
hatte,AUX,VAFIN,haben,
Herzog,NOUN,NN,Herzog,Herzog
Michael,PROPN,NE,Michael,
darüber,ADV,PAV,darüber,darüb
geklagt,VERB,VVPP,klagen,klagen
und,CONJ,KON,und,
alle,DET,PIAT,alle,
seine,DET,PPOSAT,sein,
Klugheit,NOUN,NN,Klugheit,Klugheit
angewendet,VERB,VVPP,anwenden,anwenden
",",PUNCT,"$,",--,
sie,PRON,PPER,sie,
aus,ADP,APPR,aus,
dieser,DET,PDAT,dieser,
Zerstreuung,NOUN,NN,Zerstreuung,Zerstreuung
nach,ADP,APPR,nach,
ihrem,DET,PPOSAT,ihr,
Vaterlande,NOUN,NN,Vaterland,Vaterland
zurückzuführen,VERB,VVIZU,zurückführen,zurückführen
.,PUNCT,$.,--,
Ihr,DET,PPOSAT,ihr,
Gelübde,NOUN,NN,Gelübde,Gelübde
",",PUNCT,"$,",--,
so,ADV,ADV,so,so
weit,ADJ,ADJA,weit,weit
zu,PART,PTKZU,zu,
ziehen,VERB,VVINF,ziehen,ziehen
",",PUNCT,"$,",--,
als,SCONJ,KOUS,als,
sie,PRON,PPER,sie,
noch,ADV,ADV,noch,noch
Christen,NOUN,NN,Christ,Christ
fänden,VERB,VVFIN,finden,finden
",",PUNCT,"$,",--,
war,AUX,VAFIN,sein,
gelöst,VERB,VVPP,lösen,lösen
",",PUNCT,"$,",--,
denn,ADV,ADV,denn,denn
sie,PRON,PPER,sie,
waren,AUX,VAFIN,sein,
schon,ADV,ADV,schon,schon
aus,ADP,APPR,aus,
Spanien,PROPN,NE,Spanien,
vom,ADP,APPRART,von,
Weltmeere,NOUN,NN,Weltmeer,Weltmeer
zurückgekehrt,VERB,VVPP,zurückkehren,zurückkehren
;,PUNCT,$.,--,
nur,ADV,ADV,nur,nur
der,DET,ART,der,
Wunsch,NOUN,NN,Wunsch,Wunsch
nach,ADP,APPR,nach,
der,DET,ART,der,
neuen,ADJ,ADJA,neu,neu
Welt,NOUN,NN,Welt,Welt
hielt,VERB,VVFIN,halten,halten
sie,PRON,PPER,sie,
in,ADP,APPR,in,
der,DET,ART,der,
alten,ADJ,ADJA,alt,alt
",",PUNCT,"$,",--,
die,PRON,PRELS,der,
nur,ADV,ADV,nur,nur
Krieger,NOUN,NN,Krieger,Krieger
",",PUNCT,"$,",--,
keine,DET,PIAT,kein,
Pilger,NOUN,NN,Pilger,Pilger
hinübersetzen,VERB,VVINF,hinübersetzen,hinübersetzen
wollte,VERB,VVFIN,wollen,wollen
.,PUNCT,$.,--,
Das,DET,ART,der,
Zurückführen,NOUN,NN,Zurückführen,Zurückführen
nach,ADP,APPR,nach,
Ägypten,PROPN,NE,Ägypten,
war,AUX,VAFIN,sein,
aber,CONJ,KON,aber,
bei,ADP,APPR,bei,
der,DET,ART,der,
zunehmenden,ADJ,ADJA,zunehmend,zunehmend
Türkenmacht,NOUN,NN,Türkenmacht,Türkenmacht
",",PUNCT,"$,",--,
bei,ADP,APPR,bei,
der,DET,ART,der,
Verfolgung,NOUN,NN,Verfolgung,Verfolgung
überall,ADV,ADV,überall,überall
",",PUNCT,"$,",--,
bei,ADP,APPR,bei,
dem,DET,ART,der,
Mangel,NOUN,NN,Mangel,Mangel
an,ADP,APPR,an,
Gelde,NOUN,NN,Geld,Gelde
unendlich,ADV,ADV,unendlich,unendlich
schwer,ADJ,ADJD,schwer,schwer
.,PUNCT,$.,--,
Schon,ADV,ADV,schon,schon
hatte,AUX,VAFIN,haben,
der,DET,ART,der,
Herzog,NOUN,NN,Herzog,Herzog
",",PUNCT,"$,",--,
was,PRON,PWS,was,
sonst,ADV,ADV,sonst,sonst
ihre,DET,PPOSAT,ihr,
Nationalbelustigung,NOUN,NN,Nationalbelustigung,Nationalbelustigung
war,AUX,VAFIN,sein,
",",PUNCT,"$,",--,
Proben,NOUN,NN,Probe,Probe
von,ADP,APPR,von,
Stärke,NOUN,NN,Stärke,Stärke
und,CONJ,KON,und,
Geschicklichkeit,NOUN,NN,Geschicklichkeit,Geschicklichkeit
(,PUNCT,$(,--,
wie,CONJ,KOKOM,wie,
sie,PRON,PPER,sie,
schwere,ADJ,ADJA,schwer,schwer
Tische,NOUN,NN,Tisch,Tisch
auf,ADP,APPR,auf,
ihren,DET,PPOSAT,ihr,
