token,tag,tag_STTS,lemma_gold,lemma_pred
Der,DET,ART,der,Der
Hauptgang,NOUN,NN,Hauptgang,Hauptgang
war,AUX,VAFIN,sein,sein
in,ADP,APPR,in,in
Ordnung,NOUN,NN,Ordnung,Ordnung
",",PUNCT,"$,",",",","
aber,CCONJ,KON,aber,aber
alles,ADV,PIAT,alle,all
andere,PRON,PIS,ander,ander
als,ADP,KOKOM,als,als
umwerfend,ADJ,ADJD,umwerfend,umwerfend
.,PUNCT,$.,.,.
Ist,AUX,VAFIN,sein,sein
ja,PART,ADV,ja,ja
wohl,ADV,ADV,wohl,wohl
ein,DET,ART,ein,ein
Witz,NOUN,NN,Witz,Witz
.,PUNCT,$.,.,.
10,NUM,CARD,10,10
Euro,NOUN,NN,Euro,Euro
günstiger,ADV,ADJD,günstig,günstig
selbst,ADV,ADV,selbst,selbst
hätte,AUX,VAFIN,haben,haben
kaufen,VERB,VVINF,kaufen,kaufen
können,AUX,VMINF,können,können
.,PUNCT,$.,.,.
Absolut,ADV,ADJD,absolut,Absolute
empfehlenswert,ADJ,ADJD,empfehlenswert,empfehlen
ist,AUX,VAFIN,sein,sein
auch,ADV,ADV,auch,auch
der,DET,ART,der,der
Service,NOUN,NN,Service,Service
.,PUNCT,$.,.,.
Alle,PRON,PIAT,alle,Alle
am,_,,_,am
an,ADP,APPR,an,an
dem,DET,ART,der,dem
Wort,NOUN,NN,Wort,Wort
Gottes,NOUN,NE,Gott,Gott
interessierte,ADJ,ADJA,interessiert,interessieren
Personen,NOUN,NN,Person,Person
sind,AUX,VAFIN,sein,sein
herzlich,ADV,ADJD,herzlich,herzlich
eingelanden,VERB,VVPP,eingelanden,einladen
",",PUNCT,"$,",",",","
Gottesdienst,NOUN,NN,Gottesdienst,Gottesdienst
mit,ADP,APPR,mit,mit
Liedern,NOUN,NN,Lied,Lied
",",PUNCT,"$,",",",","
Gebeten,NOUN,NN,Gebet,Gebet
und,CCONJ,KON,und,und
Predigten,NOUN,NN,Predigt,Predigt
mit,ADP,APPR,mit,mit
den,DET,ART,der,das
Mitgliedern,NOUN,NN,Mitglied,Mitglied
zu,PART,PTKZU,zu,zu
feiern,VERB,VVINF,feiern,feiern
.,PUNCT,$.,.,.
Alles,PRON,PIS,alle,All
in,ADP,APPR,in,in
Allem,NOUN,NE,Allem,Allem
ein,DET,ART,ein,ein
super,ADJ,ADJA,super,super
Erlebnis,NOUN,NN,Erlebnis,Erlebnis
.,PUNCT,$.,.,.
Als,SCONJ,KOUS,als,Als
ich,PRON,PPER,ich,ich
mit,ADP,APPR,mit,mit
meiner,DET,PPOSAT,mein,mein
Frau,NOUN,NN,Frau,Frau
und,CCONJ,KON,und,und
meiner,DET,PPOSAT,mein,mein
Tante,NOUN,NN,Tante,Tante
im,_,,_,im
in,ADP,APPR,in,in
dem,DET,ART,der,den
Oktober,PROPN,NN,Oktober,Oktober
2007,NUM,CARD,2007,2007
in,ADP,APPR,in,in
Norden,NOUN,NN,Norden,Norden
nach,ADP,APPR,nach,nach
einer,DET,ART,ein,ein
Gaststätte,NOUN,NN,Gaststätte,Gaststätte
suchten,VERB,VVFIN,suchen,suchen
",",PUNCT,"$,",",",","
in,ADP,APPR,in,in
der,DET,PRELS,der,der
man,PRON,PIS,man,man
das,DET,ART,der,das
originelle,ADJ,ADJA,originell,originelle
Gericht,NOUN,NN,Gericht,Gericht
"""",PUNCT,$(,"""",
Labskaus,NOUN,NN,Labskaus,Labskaus
"""",PUNCT,$(,"""",
essen,VERB,VVINF,essen,essen
könnte,AUX,VMFIN,können,können
